ticker,company_name,sic,sic_description,cluster
PAR,PAR TECHNOLOGY CORP,3578,Calculating & Accounting Machines (No Electronic Computers),1
QMCO,QUANTUM CORP /DE/,3572,Computer Storage Devices,1
EA,ELECTRONIC ARTS INC.,7372,Services-Prepackaged Software,1
ERIC,ERICSSON LM TELEPHONE CO,3663,Radio & Tv Broadcasting & Communications Equipment,1
MU,MICRON TECHNOLOGY INC,3674,Semiconductors & Related Devices,1
RAMP,"LiveRamp Holdings, Inc.",7374,Services-Computer Processing & Data Preparation,1
UIS,UNISYS CORP,7373,Services-Computer Integrated Systems Design,1
RCAT,"Red Cat Holdings, Inc.",7372,Services-Prepackaged Software,1
VICR,VICOR CORP,3679,"Electronic Components, NEC",1
ADSK,"Autodesk, Inc.",7372,Services-Prepackaged Software,1
KOPN,KOPIN CORP,3674,Semiconductors & Related Devices,1
CRUS,"CIRRUS LOGIC, INC.",3674,Semiconductors & Related Devices,1
JKHY,JACK HENRY & ASSOCIATES INC,7373,Services-Computer Integrated Systems Design,1
PLXS,PLEXUS CORP,3672,Printed Circuit Boards,1
MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software,1
ADBE,ADOBE INC.,7372,Services-Prepackaged Software,1
CLFD,"Clearfield, Inc.",3661,Telephone & Telegraph Apparatus,1
AIFF,"FIREFLY NEUROSCIENCE, INC.",7372,Services-Prepackaged Software,1
QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,1
MITK,MITEK SYSTEMS INC,3577,"Computer Peripheral Equipment, NEC",1
PLAB,PHOTRONICS INC,3674,Semiconductors & Related Devices,1
CDNS,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software,1
TDC,TERADATA CORP /DE/,7372,Services-Prepackaged Software,1
SYNA,SYNAPTICS Inc,3674,Semiconductors & Related Devices,1
APH,AMPHENOL CORP /DE/,3678,Electronic Connectors,1
MCHP,MICROCHIP TECHNOLOGY INC,3674,Semiconductors & Related Devices,1
POWI,POWER INTEGRATIONS INC,3674,Semiconductors & Related Devices,1
GEN,Gen Digital Inc.,7372,Services-Prepackaged Software,1
HLIT,HARMONIC INC.,3663,Radio & Tv Broadcasting & Communications Equipment,1
DGII,DIGI INTERNATIONAL INC,3576,Computer Communications Equipment,1
LSCC,LATTICE SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices,1
PTC,PTC INC.,7372,Services-Prepackaged Software,1
CSCO,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment,1
TYL,TYLER TECHNOLOGIES INC,7372,Services-Prepackaged Software,1
BHE,BENCHMARK ELECTRONICS INC,3672,Printed Circuit Boards,1
ALGM,"ALLEGRO MICROSYSTEMS, INC.",3674,Semiconductors & Related Devices,1
FLEX,FLEX LTD.,3672,Printed Circuit Boards,1
ESE,ESCO TECHNOLOGIES INC,3669,"Communications Equipment, NEC",1
PRGS,PROGRESS SOFTWARE CORP /MA,7372,Services-Prepackaged Software,1
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,3621,Motors & Generators,1
SNPS,SYNOPSYS INC,7372,Services-Prepackaged Software,1
FCEL,FUELCELL ENERGY INC,3620,Electrical Industrial Apparatus,1
MTCH,"Match Group, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
CTLP,"CANTALOUPE, INC.",3578,Calculating & Accounting Machines (No Electronic Computers),1
INTU,INTUIT INC.,7372,Services-Prepackaged Software,1
GILT,GILAT SATELLITE NETWORKS LTD,3663,Radio & Tv Broadcasting & Communications Equipment,1
SANM,SANMINA CORP,3672,Printed Circuit Boards,1
JBL,JABIL INC,3672,Printed Circuit Boards,1
INOD,INNODATA INC,7374,Services-Computer Processing & Data Preparation,1
TCX,TUCOWS INC /PA/,7374,Services-Computer Processing & Data Preparation,1
DDD,3D SYSTEMS CORP,7372,Services-Prepackaged Software,1
VIAV,VIAVI SOLUTIONS INC.,3674,Semiconductors & Related Devices,1
RMBS,RAMBUS INC,3674,Semiconductors & Related Devices,1
NOK,NOKIA CORP,3663,Radio & Tv Broadcasting & Communications Equipment,1
ADTN,"ADTRAN Holdings, Inc.",3661,Telephone & Telegraph Apparatus,1
OMCL,"OMNICELL, INC.",3571,Electronic Computers,1
AEIS,ADVANCED ENERGY INDUSTRIES INC,3679,"Electronic Components, NEC",1
TSEM,TOWER SEMICONDUCTOR LTD,3674,Semiconductors & Related Devices,1
EAF,GRAFTECH INTERNATIONAL LTD,3620,Electrical Industrial Apparatus,1
NSIT,INSIGHT ENTERPRISES INC,5961,Retail-Catalog & Mail-Order Houses,1
STM,STMicroelectronics N.V.,3674,Semiconductors & Related Devices,1
ACIW,"ACI WORLDWIDE, INC.",7372,Services-Prepackaged Software,1
CIEN,CIENA CORP,3661,Telephone & Telegraph Apparatus,1
SCKT,"SOCKET MOBILE, INC.",3571,Electronic Computers,1
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,7372,Services-Prepackaged Software,1
SAP,SAP SE,7372,Services-Prepackaged Software,1
NTAP,"NetApp, Inc.",3572,Computer Storage Devices,1
OTEX,OPEN TEXT CORP,7373,Services-Computer Integrated Systems Design,1
NICE,NICE Ltd.,7372,Services-Prepackaged Software,1
OLED,UNIVERSAL DISPLAY CORP PA,3670,Electronic Components & Accessories,1
CSGS,CSG SYSTEMS INTERNATIONAL INC,7374,Services-Computer Processing & Data Preparation,1
FDS,FACTSET RESEARCH SYSTEMS INC,7370,"Services-Computer Programming, Data Processing, Etc.",1
PEGA,PEGASYSTEMS INC,7374,Services-Computer Processing & Data Preparation,1
VRSN,VERISIGN INC/CA,7371,Services-Computer Programming Services,1
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD,7372,Services-Prepackaged Software,1
AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,1
INSG,INSEEGO CORP.,3669,"Communications Equipment, NEC",1
SLP,"Simulations Plus, Inc.",7373,Services-Computer Integrated Systems Design,1
EGHT,8X8 INC /DE/,7374,Services-Computer Processing & Data Preparation,1
CLS,CELESTICA INC,3672,Printed Circuit Boards,1
BSY,BENTLEY SYSTEMS INC,7372,Services-Prepackaged Software,1
LOGI,LOGITECH INTERNATIONAL S.A.,3577,"Computer Peripheral Equipment, NEC",1
UMC,UNITED MICROELECTRONICS CORP,3674,Semiconductors & Related Devices,1
SLAB,SILICON LABORATORIES INC.,3674,Semiconductors & Related Devices,1
OSIS,OSI SYSTEMS INC,3674,Semiconductors & Related Devices,1
FORM,FORMFACTOR INC,3674,Semiconductors & Related Devices,1
OSPN,OneSpan Inc.,7373,Services-Computer Integrated Systems Design,1
NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices,1
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3674,Semiconductors & Related Devices,1
AMKR,"AMKOR TECHNOLOGY, INC.",3674,Semiconductors & Related Devices,1
FFIV,"F5, INC.",3576,Computer Communications Equipment,1
MRCY,MERCURY SYSTEMS INC,3670,Electronic Components & Accessories,1
DSGX,DESCARTES SYSTEMS GROUP INC,7372,Services-Prepackaged Software,1
CNXN,PC CONNECTION INC,5961,Retail-Catalog & Mail-Order Houses,1
AXTI,AXT INC,3674,Semiconductors & Related Devices,1
MANH,MANHATTAN ASSOCIATES INC,7372,Services-Prepackaged Software,1
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371,Services-Computer Programming Services,1
IMMR,IMMERSION CORP,3577,"Computer Peripheral Equipment, NEC",1
DOX,AMDOCS LTD,7371,Services-Computer Programming Services,1
INFY,Infosys Ltd,7371,Services-Computer Programming Services,1
BB,BLACKBERRY Ltd,7372,Services-Prepackaged Software,1
NTCT,NETSCOUT SYSTEMS INC,7373,Services-Computer Integrated Systems Design,1
EXTR,EXTREME NETWORKS INC,3576,Computer Communications Equipment,1
AUDC,AUDIOCODES LTD,3661,Telephone & Telegraph Apparatus,1
MTLS,MATERIALISE NV,7372,Services-Prepackaged Software,1
SPSC,SPS COMMERCE INC,7372,Services-Prepackaged Software,1
PLUG,PLUG POWER INC,3620,Electrical Industrial Apparatus,1
HSTM,HEALTHSTREAM INC,7370,"Services-Computer Programming, Data Processing, Etc.",1
ON,ON SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices,1
LPSN,LIVEPERSON INC,7372,Services-Prepackaged Software,1
IFNNY,INFINEON TECHNOLOGIES AG,3674,Semiconductors & Related Devices,1
QLYS,"QUALYS, INC.",7372,Services-Prepackaged Software,1
CRM,"Salesforce, Inc.",7372,Services-Prepackaged Software,1
ONTF,ON24 INC.,7372,Services-Prepackaged Software,1
NTES,"NetEase, Inc.",7372,Services-Prepackaged Software,1
IPGP,IPG PHOTONICS CORP,3674,Semiconductors & Related Devices,1
PI,IMPINJ INC,3679,"Electronic Components, NEC",1
TTMI,TTM TECHNOLOGIES INC,3672,Printed Circuit Boards,1
CRNT,CERAGON NETWORKS LTD,3663,Radio & Tv Broadcasting & Communications Equipment,1
PDFS,PDF SOLUTIONS INC,7372,Services-Prepackaged Software,1
ASX,"ASE Technology Holding Co., Ltd.",3674,Semiconductors & Related Devices,1
NTGR,"NETGEAR, INC.",3661,Telephone & Telegraph Apparatus,1
WIT,WIPRO LTD,7371,Services-Computer Programming Services,1
LASR,"NLIGHT, INC.",3674,Semiconductors & Related Devices,1
GSIT,GSI TECHNOLOGY INC,3674,Semiconductors & Related Devices,1
BBBY,"BED BATH & BEYOND, INC.",5961,Retail-Catalog & Mail-Order Houses,1
SNCR,SYNCHRONOSS TECHNOLOGIES INC,7371,Services-Computer Programming Services,1
STX,Seagate Technology Holdings plc,3572,Computer Storage Devices,1
APLD,Applied Digital Corp.,7374,Services-Computer Processing & Data Preparation,1
AAOI,"APPLIED OPTOELECTRONICS, INC.",3674,Semiconductors & Related Devices,1
ATEYY,ADVANTEST CORP,3674,Semiconductors & Related Devices,1
NJDCY,NIDEC CORP,3621,Motors & Generators,1
TBRG,"TruBridge, Inc.",7371,Services-Computer Programming Services,1
CVLT,COMMVAULT SYSTEMS INC,7372,Services-Prepackaged Software,1
CEVA,CEVA INC,7370,"Services-Computer Programming, Data Processing, Etc.",1
FA,FIRST ADVANTAGE CORP,7374,Services-Computer Processing & Data Preparation,1
DOCU,"DOCUSIGN, INC.",7372,Services-Prepackaged Software,1
FTNT,"Fortinet, Inc.",3577,"Computer Peripheral Equipment, NEC",1
FSLR,"FIRST SOLAR, INC.",3674,Semiconductors & Related Devices,1
UCTT,"Ultra Clean Holdings, Inc.",3674,Semiconductors & Related Devices,1
BLKB,BLACKBAUD INC,7372,Services-Prepackaged Software,1
AMBA,AMBARELLA INC,3674,Semiconductors & Related Devices,1
MPWR,MONOLITHIC POWER SYSTEMS INC,3674,Semiconductors & Related Devices,1
LZ,"LEGALZOOM.COM, INC.",7374,Services-Computer Processing & Data Preparation,1
MXL,"MAXLINEAR, INC",3674,Semiconductors & Related Devices,1
FIVN,"Five9, Inc.",7374,Services-Computer Processing & Data Preparation,1
LPL,"LG Display Co., Ltd.",3679,"Electronic Components, NEC",1
GRVY,"GRAVITY Co., Ltd.",7374,Services-Computer Processing & Data Preparation,1
RBLX,Roblox Corp,7372,Services-Prepackaged Software,1
PLTR,Palantir Technologies Inc.,7372,Services-Prepackaged Software,1
MX,MAGNACHIP SEMICONDUCTOR Corp,3674,Semiconductors & Related Devices,1
META,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
PANW,Palo Alto Networks Inc,3577,"Computer Peripheral Equipment, NEC",1
WDAY,"Workday, Inc.",7374,Services-Computer Processing & Data Preparation,1
BIDU,"Baidu, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
SIMO,Silicon Motion Technology CORP,3674,Semiconductors & Related Devices,1
LEDS,SemiLEDs Corp,3674,Semiconductors & Related Devices,1
LDOS,"Leidos Holdings, Inc.",7373,Services-Computer Integrated Systems Design,1
PERI,Perion Network Ltd.,7371,Services-Computer Programming Services,1
ORCL,ORACLE CORP,7372,Services-Prepackaged Software,1
HIMX,"Himax Technologies, Inc.",3674,Semiconductors & Related Devices,1
SSTI,"SOUNDTHINKING, INC.",7372,Services-Prepackaged Software,1
EPAM,"EPAM Systems, Inc.",7371,Services-Computer Programming Services,1
QVCGA,"QVC Group, Inc.",5961,Retail-Catalog & Mail-Order Houses,1
VRNS,VARONIS SYSTEMS INC,7372,Services-Prepackaged Software,1
BOX,BOX INC,7372,Services-Prepackaged Software,1
NOW,"ServiceNow, Inc.",7372,Services-Prepackaged Software,1
SMCI,"Super Micro Computer, Inc.",3571,Electronic Computers,1
CSIQ,Canadian Solar Inc.,3674,Semiconductors & Related Devices,1
AVNW,"AVIAT NETWORKS, INC.",3663,Radio & Tv Broadcasting & Communications Equipment,1
BLIN,"Bridgeline Digital, Inc.",7372,Services-Prepackaged Software,1
RNG,"RingCentral, Inc.",7374,Services-Computer Processing & Data Preparation,1
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,Semiconductors & Related Devices,1
VEEV,VEEVA SYSTEMS INC,7372,Services-Prepackaged Software,1
BEEM,Beam Global,3674,Semiconductors & Related Devices,1
CDW,CDW Corp,5961,Retail-Catalog & Mail-Order Houses,1
SSNC,SS&C Technologies Holdings Inc,7372,Services-Prepackaged Software,1
HUBS,HUBSPOT INC,7372,Services-Prepackaged Software,1
FN,Fabrinet,3661,Telephone & Telegraph Apparatus,1
QTWO,"Q2 Holdings, Inc.",7372,Services-Prepackaged Software,1
NXPI,NXP Semiconductors N.V.,3674,Semiconductors & Related Devices,1
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",3674,Semiconductors & Related Devices,1
ATOM,Atomera Inc,3674,Semiconductors & Related Devices,1
PUBM,"PubMatic, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
APPF,APPFOLIO INC,7372,Services-Prepackaged Software,1
POET,POET TECHNOLOGIES INC.,3674,Semiconductors & Related Devices,1
DMRC,Digimarc CORP,7373,Services-Computer Integrated Systems Design,1
APPN,APPIAN CORP,7372,Services-Prepackaged Software,1
MDB,"MongoDB, Inc.",7372,Services-Prepackaged Software,1
VRSK,"Verisk Analytics, Inc.",7374,Services-Computer Processing & Data Preparation,1
WK,WORKIVA INC,7372,Services-Prepackaged Software,1
TWLO,TWILIO INC,7372,Services-Prepackaged Software,1
SITM,SITIME Corp,3674,Semiconductors & Related Devices,1
BLDP,Ballard Power Systems Inc.,3620,Electrical Industrial Apparatus,1
ALRM,"Alarm.com Holdings, Inc.",7372,Services-Prepackaged Software,1
BLZE,"Backblaze, Inc.",7372,Services-Prepackaged Software,1
ENPH,"Enphase Energy, Inc.",3674,Semiconductors & Related Devices,1
VUZI,Vuzix Corp,3663,Radio & Tv Broadcasting & Communications Equipment,1
DBX,"DROPBOX, INC.",7372,Services-Prepackaged Software,1
PSTG,"Pure Storage, Inc.",3572,Computer Storage Devices,1
GNRC,GENERAC HOLDINGS INC.,3621,Motors & Generators,1
EB,"Eventbrite, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
EXFY,"Expensify, Inc.",7372,Services-Prepackaged Software,1
NET,"Cloudflare, Inc.",7372,Services-Prepackaged Software,1
DQ,DAQO NEW ENERGY CORP.,3674,Semiconductors & Related Devices,1
ASAN,"Asana, Inc.",7372,Services-Prepackaged Software,1
JKS,"JinkoSolar Holding Co., Ltd.",3674,Semiconductors & Related Devices,1
TDUP,ThredUp Inc.,5961,Retail-Catalog & Mail-Order Houses,1
THR,"Thermon Group Holdings, Inc.",3620,Electrical Industrial Apparatus,1
MTSI,"MACOM Technology Solutions Holdings, Inc.",3674,Semiconductors & Related Devices,1
TBCH,Turtle Beach Corp,3669,"Communications Equipment, NEC",1
CARG,"CarGurus, Inc.",7374,Services-Computer Processing & Data Preparation,1
UPLD,"Upland Software, Inc.",7372,Services-Prepackaged Software,1
DOMO,"DOMO, INC.",7372,Services-Prepackaged Software,1
PINS,"PINTEREST, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",1
VNET,"VNET Group, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
XNET,Xunlei Ltd,7372,Services-Prepackaged Software,1
UI,Ubiquiti Inc.,3663,Radio & Tv Broadcasting & Communications Equipment,1
XYZ,"Block, Inc.",7372,Services-Prepackaged Software,1
NBIS,Nebius Group N.V.,7370,"Services-Computer Programming, Data Processing, Etc.",1
BAND,Bandwidth Inc.,7372,Services-Prepackaged Software,1
DOCS,"Doximity, Inc.",7371,Services-Computer Programming Services,1
SPT,"Sprout Social, Inc.",7372,Services-Prepackaged Software,1
SSYS,STRATASYS LTD.,3577,"Computer Peripheral Equipment, NEC",1
FSLY,"Fastly, Inc.",7372,Services-Prepackaged Software,1
AMPG,"AmpliTech Group, Inc.",3669,"Communications Equipment, NEC",1
MQ,"Marqeta, Inc.",7372,Services-Prepackaged Software,1
GDS,GDS Holdings Ltd,7370,"Services-Computer Programming, Data Processing, Etc.",1
TRIP,"TripAdvisor, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
ATHM,Autohome Inc.,7374,Services-Computer Processing & Data Preparation,1
GWRE,"Guidewire Software, Inc.",7372,Services-Prepackaged Software,1
XTIA,"XTI Aerospace, Inc.",7371,Services-Computer Programming Services,1
VIPS,Vipshop Holdings Ltd,5961,Retail-Catalog & Mail-Order Houses,1
ALKT,"ALKAMI TECHNOLOGY, INC.",7372,Services-Prepackaged Software,1
JOYY,JOYY Inc.,7374,Services-Computer Processing & Data Preparation,1
HNST,"Honest Company, Inc.",5961,Retail-Catalog & Mail-Order Houses,1
CRWD,"CrowdStrike Holdings, Inc.",7372,Services-Prepackaged Software,1
FRSH,Freshworks Inc.,7372,Services-Prepackaged Software,1
SSTK,"Shutterstock, Inc.",7374,Services-Computer Processing & Data Preparation,1
AUUD,AUDDIA INC.,7374,Services-Computer Processing & Data Preparation,1
GLOB,Globant S.A.,7374,Services-Computer Processing & Data Preparation,1
EVTC,"EVERTEC, Inc.",7374,Services-Computer Processing & Data Preparation,1
RPD,"Rapid7, Inc.",7372,Services-Prepackaged Software,1
DDOG,"Datadog, Inc.",7372,Services-Prepackaged Software,1
DUOL,"Duolingo, Inc.",7372,Services-Prepackaged Software,1
SNAP,Snap Inc,7370,"Services-Computer Programming, Data Processing, Etc.",1
VISL,"Vislink Technologies, Inc.",3669,"Communications Equipment, NEC",1
INTA,"Intapp, Inc.",7372,Services-Prepackaged Software,1
PD,"PagerDuty, Inc.",7372,Services-Prepackaged Software,1
CXM,"Sprinklr, Inc.",7372,Services-Prepackaged Software,1
SAIC,Science Applications International Corp,7373,Services-Computer Integrated Systems Design,1
DELL,Dell Technologies Inc.,3571,Electronic Computers,1
WATT,Energous Corp,3663,Radio & Tv Broadcasting & Communications Equipment,1
WIX,Wix.com Ltd.,7370,"Services-Computer Programming, Data Processing, Etc.",1
SFIX,"Stitch Fix, Inc.",5961,Retail-Catalog & Mail-Order Houses,1
AI,"C3.ai, Inc.",7372,Services-Prepackaged Software,1
ATEN,"A10 Networks, Inc.",3576,Computer Communications Equipment,1
LIF,"Life360, Inc.",7374,Services-Computer Processing & Data Preparation,1
DOCN,"DigitalOcean Holdings, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
S,"SentinelOne, Inc.",7372,Services-Prepackaged Software,1
ZM,"Zoom Communications, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
PAYC,"Paycom Software, Inc.",7372,Services-Prepackaged Software,1
PCTY,Paylocity Holding Corp,7372,Services-Prepackaged Software,1
SHOP,SHOPIFY INC.,7372,Services-Prepackaged Software,1
WB,WEIBO Corp,7370,"Services-Computer Programming, Data Processing, Etc.",1
MGNI,"MAGNITE, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",1
ANET,"Arista Networks, Inc.",3576,Computer Communications Equipment,1
RDNW,"RideNow Group, Inc.",7371,Services-Computer Programming Services,1
SABR,Sabre Corp,7370,"Services-Computer Programming, Data Processing, Etc.",1
CMCM,Cheetah Mobile Inc.,7372,Services-Prepackaged Software,1
CYBR,CyberArk Software Ltd.,7372,Services-Prepackaged Software,1
KSCP,"Knightscope, Inc.",3669,"Communications Equipment, NEC",1
QRVO,"Qorvo, Inc.",3674,Semiconductors & Related Devices,1
WEAV,"Weave Communications, Inc.",7372,Services-Prepackaged Software,1
GDDY,GoDaddy Inc.,7373,Services-Computer Integrated Systems Design,1
MOMO,Hello Group Inc.,7372,Services-Prepackaged Software,1
PCOR,"PROCORE TECHNOLOGIES, INC.",7372,Services-Prepackaged Software,1
YEXT,"Yext, Inc.",7374,Services-Computer Processing & Data Preparation,1
VERI,"Veritone, Inc.",7374,Services-Computer Processing & Data Preparation,1
PENG,"Penguin Solutions, Inc.",3674,Semiconductors & Related Devices,1
W,Wayfair Inc.,5961,Retail-Catalog & Mail-Order Houses,1
ZIP,"ZIPRECRUITER, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",1
NTNX,"Nutanix, Inc.",7372,Services-Prepackaged Software,1
SLE,"Super League Enterprise, Inc.",7373,Services-Computer Integrated Systems Design,1
NRDS,"NERDWALLET, INC.",7374,Services-Computer Processing & Data Preparation,1
BZUN,Baozun Inc.,5961,Retail-Catalog & Mail-Order Houses,1
LAW,"CS Disco, Inc.",7372,Services-Prepackaged Software,1
CMRC,"Commerce.com, Inc.",7372,Services-Prepackaged Software,1
UPWK,"UPWORK, INC",7374,Services-Computer Processing & Data Preparation,1
LITE,Lumentum Holdings Inc.,3669,"Communications Equipment, NEC",1
FLUT,Flutter Entertainment plc,7370,"Services-Computer Programming, Data Processing, Etc.",1
HCAT,"Health Catalyst, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
SNOW,Snowflake Inc.,7372,Services-Prepackaged Software,1
EVER,"EverQuote, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
IOT,Samsara Inc.,7373,Services-Computer Integrated Systems Design,1
NNDM,Nano Dimension Ltd.,3672,Printed Circuit Boards,1
HPE,Hewlett Packard Enterprise Co,3570,Computer & office Equipment,1
ONDS,Ondas Holdings Inc.,3663,Radio & Tv Broadcasting & Communications Equipment,1
TOST,"Toast, Inc.",7374,Services-Computer Processing & Data Preparation,1
TEAM,Atlassian Corp,7372,Services-Prepackaged Software,1
COUR,"Coursera, Inc.",7372,Services-Prepackaged Software,1
GOOGL,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",1
ICHR,"ICHOR HOLDINGS, LTD.",3674,Semiconductors & Related Devices,1
GTLB,Gitlab Inc.,7372,Services-Prepackaged Software,1
DAVA,Endava plc,7371,Services-Computer Programming Services,1
OKTA,"Okta, Inc.",7372,Services-Prepackaged Software,1
TENB,"Tenable Holdings, Inc.",7372,Services-Prepackaged Software,1
KULR,"KULR Technology Group, Inc.",3670,Electronic Components & Accessories,1
BE,Bloom Energy Corp,3620,Electrical Industrial Apparatus,1
PHUN,"Phunware, Inc.",7374,Services-Computer Processing & Data Preparation,1
CDLX,"Cardlytics, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
BL,"BLACKLINE, INC.",7372,Services-Prepackaged Software,1
AIP,"Arteris, Inc.",3674,Semiconductors & Related Devices,1
TTD,"Trade Desk, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
SEGG,Lottery.com Inc.,7372,Services-Prepackaged Software,0
VRT,Vertiv Holdings Co,3679,"Electronic Components, NEC",1
WORX,SCWorx Corp.,7374,Services-Computer Processing & Data Preparation,1
YYAI,AIRWA INC.,7370,"Services-Computer Programming, Data Processing, Etc.",1
BRZE,"Braze, Inc.",7372,Services-Prepackaged Software,1
VREX,Varex Imaging Corp,3679,"Electronic Components, NEC",1
CARS,Cars.com Inc.,7374,Services-Computer Processing & Data Preparation,1
TRVG,trivago N.V.,7374,Services-Computer Processing & Data Preparation,1
DXC,DXC Technology Co,7374,Services-Computer Processing & Data Preparation,1
FRSX,Foresight Autonomous Holdings Ltd.,7372,Services-Prepackaged Software,1
REKR,"Rekor Systems, Inc.",3669,"Communications Equipment, NEC",1
CFLT,"Confluent, Inc.",7372,Services-Prepackaged Software,1
ESTC,Elastic N.V.,7372,Services-Prepackaged Software,1
RBBN,Ribbon Communications Inc.,7373,Services-Computer Integrated Systems Design,1
GFS,GLOBALFOUNDRIES Inc.,3674,Semiconductors & Related Devices,1
PAGS,PagSeguro Digital Ltd.,7374,Services-Computer Processing & Data Preparation,1
RDDT,"Reddit, Inc.",7374,Services-Computer Processing & Data Preparation,1
ZS,"Zscaler, Inc.",7371,Services-Computer Programming Services,1
TEM,"Tempus AI, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",1
ZEPP,Zepp Health Corp,3571,Electronic Computers,1
BILI,Bilibili Inc.,7374,Services-Computer Processing & Data Preparation,1
HUYA,HUYA Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",1
AVGO,Broadcom Inc.,3674,Semiconductors & Related Devices,1
SOHU,Sohu.com Ltd,7374,Services-Computer Processing & Data Preparation,1
PATH,"UiPath, Inc.",7372,Services-Prepackaged Software,1
ALAB,"Astera Labs, Inc.",3674,Semiconductors & Related Devices,1
OPRA,Opera Ltd,7372,Services-Prepackaged Software,1
CMBM,Cambium Networks Corp,3663,Radio & Tv Broadcasting & Communications Equipment,1
WKEY,Wisekey International Holding S.A.,7374,Services-Computer Processing & Data Preparation,1
MTC,"MMTec, Inc.",7372,Services-Prepackaged Software,1
