ticker,company_name,sic,sic_description,label
VISL,"Vislink Technologies, Inc.",3669,"Communications Equipment, NEC",Vulnerable
DOCN,"DigitalOcean Holdings, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",Resilient
SHOP,SHOPIFY INC.,7372,Services-Prepackaged Software,Resilient
WB,WEIBO Corp,7370,"Services-Computer Programming, Data Processing, Etc.",Resilient
MGNI,"MAGNITE, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",Resilient
RDNW,"RideNow Group, Inc.",7371,Services-Computer Programming Services,Vulnerable
QRVO,"Qorvo, Inc.",3674,Semiconductors & Related Devices,Vulnerable
VERI,"Veritone, Inc.",7374,Services-Computer Processing & Data Preparation,Resilient
W,Wayfair Inc.,5961,Retail-Catalog & Mail-Order Houses,Vulnerable
ZIP,"ZIPRECRUITER, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",Resilient
NTNX,"Nutanix, Inc.",7372,Services-Prepackaged Software,Resilient
BZUN,Baozun Inc.,5961,Retail-Catalog & Mail-Order Houses,Resilient
CMRC,"Commerce.com, Inc.",7372,Services-Prepackaged Software,Resilient
LITE,Lumentum Holdings Inc.,3669,"Communications Equipment, NEC",Vulnerable
NNDM,Nano Dimension Ltd.,3672,Printed Circuit Boards,Resilient
ICHR,"ICHOR HOLDINGS, LTD.",3674,Semiconductors & Related Devices,Resilient
GTLB,Gitlab Inc.,7372,Services-Prepackaged Software,Resilient
KULR,"KULR Technology Group, Inc.",3670,Electronic Components & Accessories,Resilient
BE,Bloom Energy Corp,3620,Electrical Industrial Apparatus,Vulnerable
PHUN,"Phunware, Inc.",7374,Services-Computer Processing & Data Preparation,Vulnerable
CDLX,"Cardlytics, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",Vulnerable
AIP,"Arteris, Inc.",3674,Semiconductors & Related Devices,Vulnerable
VRT,Vertiv Holdings Co,3679,"Electronic Components, NEC",Vulnerable
TRVG,trivago N.V.,7374,Services-Computer Processing & Data Preparation,Resilient
REKR,"Rekor Systems, Inc.",3669,"Communications Equipment, NEC",Resilient
ESTC,Elastic N.V.,7372,Services-Prepackaged Software,Resilient
GFS,GLOBALFOUNDRIES Inc.,3674,Semiconductors & Related Devices,Vulnerable
PAGS,PagSeguro Digital Ltd.,7374,Services-Computer Processing & Data Preparation,Resilient
RDDT,"Reddit, Inc.",7374,Services-Computer Processing & Data Preparation,Resilient
SOHU,Sohu.com Ltd,7374,Services-Computer Processing & Data Preparation,Resilient
OPRA,Opera Ltd,7372,Services-Prepackaged Software,Resilient
WKEY,Wisekey International Holding S.A.,7374,Services-Computer Processing & Data Preparation,Vulnerable
BKSY,BlackSky Technology Inc.,3663,Radio & Tv Broadcasting & Communications Equipment,Resilient
CRKN,Crown Electrokinetics Corp.,3679,"Electronic Components, NEC",Vulnerable
CLVT,CLARIVATE PLC,7374,Services-Computer Processing & Data Preparation,Vulnerable
CRNC,Cerence Inc.,7372,Services-Prepackaged Software,Resilient
XRX,Xerox Holdings Corp,3577,"Computer Peripheral Equipment, NEC",Vulnerable
BILL,"BILL Holdings, Inc.",7372,Services-Prepackaged Software,Vulnerable
KC,Kingsoft Cloud Holdings Ltd,7372,Services-Prepackaged Software,Resilient
RXT,"Rackspace Technology, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",Resilient
U,Unity Software Inc.,7372,Services-Prepackaged Software,Vulnerable
SKYT,"SkyWater Technology, Inc",3674,Semiconductors & Related Devices,Vulnerable
CXAI,CXApp Inc.,7372,Services-Prepackaged Software,Vulnerable
MSGM,Motorsport Games Inc.,7372,Services-Prepackaged Software,Vulnerable
NVTS,Navitas Semiconductor Corp,3674,Semiconductors & Related Devices,Vulnerable
LSPD,Lightspeed Commerce Inc.,7372,Services-Prepackaged Software,Vulnerable
CGNT,Cognyte Software Ltd.,7372,Services-Prepackaged Software,Resilient
AUR,"Aurora Innovation, Inc.",7373,Services-Computer Integrated Systems Design,Resilient
FTCI,"FTC Solar, Inc.",3674,Semiconductors & Related Devices,Vulnerable
DSP,Viant Technology Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",Resilient
TUYA,Tuya Inc.,7372,Services-Prepackaged Software,Resilient
RUM,Rumble Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",Vulnerable
SHLS,"Shoals Technologies Group, Inc.",3674,Semiconductors & Related Devices,Vulnerable
SEMR,"SEMrush Holdings, Inc.",7372,Services-Prepackaged Software,Resilient
KVYO,"Klaviyo, Inc.",7372,Services-Prepackaged Software,Resilient
YMM,Full Truck Alliance Co. Ltd.,7372,Services-Prepackaged Software,Resilient
MNDY,monday.com Ltd.,7372,Services-Prepackaged Software,Resilient
NPWR,NET Power Inc.,3620,Electrical Industrial Apparatus,Vulnerable
HEPS,D-MARKET Electronic Services & Trading,5961,Retail-Catalog & Mail-Order Houses,Resilient
ZETA,Zeta Global Holdings Corp.,7372,Services-Prepackaged Software,Resilient
ARQQ,Arqit Quantum Inc.,7372,Services-Prepackaged Software,Vulnerable
DH,Definitive Healthcare Corp.,7372,Services-Prepackaged Software,Resilient
AMPL,"Amplitude, Inc.",7372,Services-Prepackaged Software,Resilient
GRRR,Gorilla Technology Group Inc.,7372,Services-Prepackaged Software,Resilient
SVCO,"Silvaco Group, Inc.",7372,Services-Prepackaged Software,Vulnerable
UMAC,"Unusual Machines, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment,Vulnerable
TE,T1 Energy Inc.,3674,Semiconductors & Related Devices,Vulnerable
