ticker,company_name,sic,sic_description,cluster,companyid
CWAN,"Clearwater Analytics Holdings, Inc.",7372,Services-Prepackaged Software,0,1679676647
ECX,ECARX Holdings Inc.,7373,Services-Computer Integrated Systems Design,0,136714
ARBE,Arbe Robotics Ltd.,7373,Services-Computer Integrated Systems Design,0,379289324
DH,Definitive Healthcare Corp.,7372,Services-Prepackaged Software,0,1678202500
ARQQ,Arqit Quantum Inc.,7372,Services-Prepackaged Software,2,598954721
GCT,GigaCloud Technology Inc,5961,Retail-Catalog & Mail-Order Houses,0,431954144
YOU,"Clear Secure, Inc.",7372,Services-Prepackaged Software,0,20726037
BLND,"Blend Labs, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,252789627
CLBT,Cellebrite DI Ltd.,7372,Services-Prepackaged Software,0,6939353
DDL,Dingdong (Cayman) Ltd,5961,Retail-Catalog & Mail-Order Houses,0,874732
EVCM,EverCommerce Inc.,7372,Services-Prepackaged Software,0,671730212
ZETA,Zeta Global Holdings Corp.,7372,Services-Prepackaged Software,0,712701220
HEPS,D-MARKET Electronic Services & Trading,5961,Retail-Catalog & Mail-Order Houses,0,285799345
DJT,Trump Media & Technology Group Corp.,7370,"Services-Computer Programming, Data Processing, Etc.",0,1685761306
NEXN,Nexxen International Ltd.,7370,"Services-Computer Programming, Data Processing, Etc.",0,225024565
GNS,Genius Group Ltd,7372,Services-Prepackaged Software,2,1029971
NXDR,"Nextdoor Holdings, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,139938259
NPWR,NET Power Inc.,3620,Electrical Industrial Apparatus,0,208444566
MNDY,monday.com Ltd.,7372,Services-Prepackaged Software,0,214992529
BZ,Kanzhun Ltd,7370,"Services-Computer Programming, Data Processing, Etc.",0,53837907
SMWB,SIMILARWEB LTD.,7370,"Services-Computer Programming, Data Processing, Etc.",0,62400334
IAS,INTEGRAL AD SCIENCE HOLDING CORP.,7370,"Services-Computer Programming, Data Processing, Etc.",0,73957391
AISP,"Airship AI Holdings, Inc.",7372,Services-Prepackaged Software,0,1829179003
INDI,"indie Semiconductor, Inc.",3674,Semiconductors & Related Devices,0,1869534890
HOLO,MicroCloud Hologram Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",2,1680837259
SOUN,"SOUNDHOUND AI, INC.",7372,Services-Prepackaged Software,0,28748353
TBLA,Taboola.com Ltd.,7370,"Services-Computer Programming, Data Processing, Etc.",0,8951934
SSM,Sono Group N.V.,3674,Semiconductors & Related Devices,2,52055919
HCTI,"Healthcare Triangle, Inc.",7373,Services-Computer Integrated Systems Design,2,701091442
YMM,Full Truck Alliance Co. Ltd.,7372,Services-Prepackaged Software,0,560353894
RGTI,"Rigetti Computing, Inc.",7371,Services-Computer Programming Services,0,270093415
VMEO,"Vimeo, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,105810806
SMRT,"SmartRent, Inc.",7373,Services-Computer Integrated Systems Design,0,26258006
BBAI,"BigBear.ai Holdings, Inc.",7372,Services-Prepackaged Software,0,717472454
PL,Planet Labs PBC,3663,Radio & Tv Broadcasting & Communications Equipment,0,53838219
SRAD,Sportradar Group AG,7370,"Services-Computer Programming, Data Processing, Etc.",0,381848270
GLBE,Global-E Online Ltd.,7372,Services-Prepackaged Software,0,706899929
KVYO,"Klaviyo, Inc.",7372,Services-Prepackaged Software,0,310103275
MRVL,"Marvell Technology, Inc.",3674,Semiconductors & Related Devices,0,687352112
CPNG,"Coupang, Inc.",5961,Retail-Catalog & Mail-Order Houses,0,704377650
NABL,"N-able, Inc.",7372,Services-Prepackaged Software,0,709612693
LUXE,LuxExperience B.V.,5961,Retail-Catalog & Mail-Order Houses,0,699650200
SEMR,"SEMrush Holdings, Inc.",7372,Services-Prepackaged Software,0,706105256
SHLS,"Shoals Technologies Group, Inc.",3674,Semiconductors & Related Devices,0,133833909
RUM,Rumble Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",0,608737847
BMBL,Bumble Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",0,1819414146
DCBO,Docebo Inc.,7372,Services-Prepackaged Software,0,633790627
TASK,"TaskUs, Inc.",7374,Services-Computer Processing & Data Preparation,0,250281193
TUYA,Tuya Inc.,7372,Services-Prepackaged Software,0,542359809
DSP,Viant Technology Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",0,115222699
FTCI,"FTC Solar, Inc.",3674,Semiconductors & Related Devices,0,674822063
AUR,"Aurora Innovation, Inc.",7373,Services-Computer Integrated Systems Design,0,424226705
PLTK,Playtika Holding Corp.,7374,Services-Computer Processing & Data Preparation,0,53569409
CERT,"Certara, Inc.",7372,Services-Prepackaged Software,0,591061088
PDYN,Palladyne AI Corp.,7372,Services-Prepackaged Software,0,38898012
TIXT,TELUS International (Cda) Inc.,7374,Services-Computer Processing & Data Preparation,0,6370267
IONQ,"IonQ, Inc.",7373,Services-Computer Integrated Systems Design,0,531207172
CGNT,Cognyte Software Ltd.,7372,Services-Prepackaged Software,0,689699538
LSPD,Lightspeed Commerce Inc.,7372,Services-Prepackaged Software,0,105664036
NVTS,Navitas Semiconductor Corp,3674,Semiconductors & Related Devices,0,306401012
MSGM,Motorsport Games Inc.,7372,Services-Prepackaged Software,0,691277895
CXAI,CXApp Inc.,7372,Services-Prepackaged Software,0,690315901
GRND,Grindr Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",0,244520896
SKYT,"SkyWater Technology, Inc",3674,Semiconductors & Related Devices,0,708778565
DV,"DoubleVerify Holdings, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,707993341
CCC,CCC Intelligent Solutions Holdings Inc.,7372,Services-Prepackaged Software,0,3418091
LYTHF,Lytus Technologies Holdings PTV. Ltd.,7374,Services-Computer Processing & Data Preparation,2,710009928
U,Unity Software Inc.,7372,Services-Prepackaged Software,0,241908542
RXT,"Rackspace Technology, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,428786517
GDRX,"GoodRx Holdings, Inc.",7374,Services-Computer Processing & Data Preparation,0,576807508
CRDO,Credo Technology Group Holding Ltd,3674,Semiconductors & Related Devices,0,662522214
VERX,"Vertex, Inc.",7372,Services-Prepackaged Software,0,969374
SST,"System1, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",2,8088656
EVLV,"Evolv Technologies Holdings, Inc.",3577,"Computer Peripheral Equipment, NEC",0,244629780
OST,"Ostin Technology Group Co., Ltd.",3679,"Electronic Components, NEC",0,705917950
API,"Agora, Inc.",7372,Services-Prepackaged Software,0,9898546
MSPR,"MSP Recovery, Inc.",7374,Services-Computer Processing & Data Preparation,0,1673708436
SKLZ,Skillz Inc.,7374,Services-Computer Processing & Data Preparation,0,224322448
FROG,JFrog Ltd,7372,Services-Prepackaged Software,0,212579473
MLGO,MicroAlgo Inc.,7371,Services-Computer Programming Services,2,693970316
IAC,IAC Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",0,654692030
MAXN,"Maxeon Solar Technologies, Ltd.",3674,Semiconductors & Related Devices,0,643763937
KC,Kingsoft Cloud Holdings Ltd,7372,Services-Prepackaged Software,0,278860821
GTM,ZoomInfo Technologies Inc.,7372,Services-Prepackaged Software,0,656458081
YALA,Yalla Group Ltd,7370,"Services-Computer Programming, Data Processing, Etc.",0,687547766
VTEX,VTEX,7372,Services-Prepackaged Software,0,643468691
XPER,Xperi Inc.,7372,Services-Prepackaged Software,0,1798497922
BILL,"BILL Holdings, Inc.",7372,Services-Prepackaged Software,2,4038384
NXTT,Next Technology Holding Inc.,7374,Services-Computer Processing & Data Preparation,0,632676240
PRCH,"Porch Group, Inc.",7372,Services-Prepackaged Software,0,247450223
SOGP,Sound Group Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",0,641937822
OCFT,"ONECONNECT FINANCIAL TECHNOLOGY CO., LTD.",7370,"Services-Computer Programming, Data Processing, Etc.",0,551557511
MAPS,"WM TECHNOLOGY, INC.",7372,Services-Prepackaged Software,0,216280955
AVPT,"AvePoint, Inc.",7372,Services-Prepackaged Software,0,30118868
SKIL,Skillsoft Corp.,7372,Services-Prepackaged Software,0,236296103
DT,"Dynatrace, Inc.",7372,Services-Prepackaged Software,0,628406634
XRX,Xerox Holdings Corp,3577,"Computer Peripheral Equipment, NEC",0,103599
WIMI,WiMi Hologram Cloud Inc.,7372,Services-Prepackaged Software,0,609795305
CRNC,Cerence Inc.,7372,Services-Prepackaged Software,0,634127183
CHWY,"Chewy, Inc.",5961,Retail-Catalog & Mail-Order Houses,0,272762396
CLVT,CLARIVATE PLC,7374,Services-Computer Processing & Data Preparation,0,373723538
DOYU,DouYu International Holdings Ltd,7370,"Services-Computer Programming, Data Processing, Etc.",0,611310492
CRKN,Crown Electrokinetics Corp.,3679,"Electronic Components, NEC",2,607620390
SY,So-Young International Inc.,7374,Services-Computer Processing & Data Preparation,0,609634860
QUBT,Quantum Computing Inc.,7372,Services-Prepackaged Software,0,13451170
JMIA,Jumia Technologies AG,5961,Retail-Catalog & Mail-Order Houses,0,606126025
XTKG,"X3 Holdings Co., Ltd.",7371,Services-Computer Programming Services,2,1797799
BKSY,BlackSky Technology Inc.,3663,Radio & Tv Broadcasting & Communications Equipment,0,336308405
APP,AppLovin Corp,7370,"Services-Computer Programming, Data Processing, Etc.",0,231651802
RVLV,"Revolve Group, Inc.",5961,Retail-Catalog & Mail-Order Houses,0,583985474
STNE,StoneCo Ltd.,7374,Services-Computer Processing & Data Preparation,0,584499446
CRSR,"Corsair Gaming, Inc.",3577,"Computer Peripheral Equipment, NEC",0,217382392
GDYN,"GRID DYNAMICS HOLDINGS, INC.",7372,Services-Prepackaged Software,0,44459532
MTC,"MMTec, Inc.",7372,Services-Prepackaged Software,0,405169068
WKEY,Wisekey International Holding S.A.,7374,Services-Computer Processing & Data Preparation,0,8058229
CMBM,Cambium Networks Corp,3663,Radio & Tv Broadcasting & Communications Equipment,0,8100485
OPRA,Opera Ltd,7372,Services-Prepackaged Software,0,572584066
ALAB,"Astera Labs, Inc.",3674,Semiconductors & Related Devices,0,558258765
PATH,"UiPath, Inc.",7372,Services-Prepackaged Software,0,343303132
SOHU,Sohu.com Ltd,7374,Services-Computer Processing & Data Preparation,0,111756
AVGO,Broadcom Inc.,3674,Semiconductors & Related Devices,0,25016048
HUYA,HUYA Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",0,431096194
DAY,"Dayforce, Inc.",7372,Services-Prepackaged Software,0,246737890
BILI,Bilibili Inc.,7374,Services-Computer Processing & Data Preparation,0,291855394
JAMF,Jamf Holding Corp.,7372,Services-Prepackaged Software,0,543630982
ZEPP,Zepp Health Corp,3571,Electronic Computers,0,279346385
TEM,"Tempus AI, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,1342580
ZS,"Zscaler, Inc.",7371,Services-Computer Programming Services,0,53840173
RDDT,"Reddit, Inc.",7374,Services-Computer Processing & Data Preparation,0,29927936
PAGS,PagSeguro Digital Ltd.,7374,Services-Computer Processing & Data Preparation,0,547797906
GFS,GLOBALFOUNDRIES Inc.,3674,Semiconductors & Related Devices,0,237245858
RBBN,Ribbon Communications Inc.,7373,Services-Computer Integrated Systems Design,0,265420317
ESTC,Elastic N.V.,7372,Services-Prepackaged Software,0,224101504
CFLT,"Confluent, Inc.",7372,Services-Prepackaged Software,0,276431142
REKR,"Rekor Systems, Inc.",3669,"Communications Equipment, NEC",0,339110510
FRSX,Foresight Autonomous Holdings Ltd.,7372,Services-Prepackaged Software,0,307548170
DXC,DXC Technology Co,7374,Services-Computer Processing & Data Preparation,0,411695774
TRVG,trivago N.V.,7374,Services-Computer Processing & Data Preparation,0,391687
CARS,Cars.com Inc.,7374,Services-Computer Processing & Data Preparation,0,422252203
VREX,Varex Imaging Corp,3679,"Electronic Components, NEC",0,379834366
BRZE,"Braze, Inc.",7372,Services-Prepackaged Software,0,232496287
YYAI,AIRWA INC.,7370,"Services-Computer Programming, Data Processing, Etc.",2,1875380655
WORX,SCWorx Corp.,7374,Services-Computer Processing & Data Preparation,2,578701307
VRT,Vertiv Holdings Co,3679,"Electronic Components, NEC",0,579312452
TTD,"Trade Desk, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,99942756
AIP,"Arteris, Inc.",3674,Semiconductors & Related Devices,0,4639940
BL,"BLACKLINE, INC.",7372,Services-Prepackaged Software,0,46422711
CDLX,"Cardlytics, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",2,61344787
PHUN,"Phunware, Inc.",7374,Services-Computer Processing & Data Preparation,0,108788945
BE,Bloom Energy Corp,3620,Electrical Industrial Apparatus,0,28543927
KULR,"KULR Technology Group, Inc.",3670,Electronic Components & Accessories,0,328671450
TENB,"Tenable Holdings, Inc.",7372,Services-Prepackaged Software,0,877134
OKTA,"Okta, Inc.",7372,Services-Prepackaged Software,0,109373551
DAVA,Endava plc,7371,Services-Computer Programming Services,0,233445314
GTLB,Gitlab Inc.,7372,Services-Prepackaged Software,0,286753997
ICHR,"ICHOR HOLDINGS, LTD.",3674,Semiconductors & Related Devices,0,409540249
GOOGL,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",0,29096
COUR,"Coursera, Inc.",7372,Services-Prepackaged Software,0,881549
TEAM,Atlassian Corp,7372,Services-Prepackaged Software,0,9382451
TOST,"Toast, Inc.",7374,Services-Computer Processing & Data Preparation,0,308700964
ONDS,Ondas Holdings Inc.,3663,Radio & Tv Broadcasting & Communications Equipment,0,60309355
HPE,Hewlett Packard Enterprise Co,3570,Computer & office Equipment,0,876645
NNDM,Nano Dimension Ltd.,3672,Printed Circuit Boards,0,268296316
IOT,Samsara Inc.,7373,Services-Computer Integrated Systems Design,0,5801171
EVER,"EverQuote, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,628759414
SNOW,Snowflake Inc.,7372,Services-Prepackaged Software,0,275004592
HCAT,"Health Catalyst, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,118171469
FLUT,Flutter Entertainment plc,7370,"Services-Computer Programming, Data Processing, Etc.",0,1303244
LITE,Lumentum Holdings Inc.,3669,"Communications Equipment, NEC",0,272054403
UPWK,"UPWORK, INC",7374,Services-Computer Processing & Data Preparation,0,425007667
CMRC,"Commerce.com, Inc.",7372,Services-Prepackaged Software,0,676858391
LAW,"CS Disco, Inc.",7372,Services-Prepackaged Software,0,254355063
BZUN,Baozun Inc.,5961,Retail-Catalog & Mail-Order Houses,0,153970398
NRDS,"NERDWALLET, INC.",7374,Services-Computer Processing & Data Preparation,0,243657962
SLE,"Super League Enterprise, Inc.",7373,Services-Computer Integrated Systems Design,0,274161591
NTNX,"Nutanix, Inc.",7372,Services-Prepackaged Software,0,126751161
ZIP,"ZIPRECRUITER, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",0,270999467
W,Wayfair Inc.,5961,Retail-Catalog & Mail-Order Houses,0,30663855
PENG,"Penguin Solutions, Inc.",3674,Semiconductors & Related Devices,0,429150870
VERI,"Veritone, Inc.",7374,Services-Computer Processing & Data Preparation,0,269436565
YEXT,"Yext, Inc.",7374,Services-Computer Processing & Data Preparation,0,59320819
PCOR,"PROCORE TECHNOLOGIES, INC.",7372,Services-Prepackaged Software,0,29510794
MOMO,Hello Group Inc.,7372,Services-Prepackaged Software,0,215125097
GDDY,GoDaddy Inc.,7373,Services-Computer Integrated Systems Design,0,265777695
WEAV,"Weave Communications, Inc.",7372,Services-Prepackaged Software,0,257157780
QRVO,"Qorvo, Inc.",3674,Semiconductors & Related Devices,0,33821
KSCP,"Knightscope, Inc.",3669,"Communications Equipment, NEC",0,257548773
CYBR,CyberArk Software Ltd.,7372,Services-Prepackaged Software,0,1848139967
CMCM,Cheetah Mobile Inc.,7372,Services-Prepackaged Software,0,39148195
SABR,Sabre Corp,7370,"Services-Computer Programming, Data Processing, Etc.",0,254517933
RDNW,"RideNow Group, Inc.",7371,Services-Computer Programming Services,0,254640431
ANET,"Arista Networks, Inc.",3576,Computer Communications Equipment,0,33348547
MGNI,"MAGNITE, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",0,37502896
WB,WEIBO Corp,7370,"Services-Computer Programming, Data Processing, Etc.",0,260426678
SHOP,SHOPIFY INC.,7372,Services-Prepackaged Software,0,84159238
PCTY,Paylocity Holding Corp,7372,Services-Prepackaged Software,0,254957567
PAYC,"Paycom Software, Inc.",7372,Services-Prepackaged Software,0,254225545
ZM,"Zoom Communications, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,223236753
S,"SentinelOne, Inc.",7372,Services-Prepackaged Software,0,243722644
DOCN,"DigitalOcean Holdings, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,419283817
LIF,"Life360, Inc.",7374,Services-Computer Processing & Data Preparation,0,81686581
ATEN,"A10 Networks, Inc.",3576,Computer Communications Equipment,0,24734352
AI,"C3.ai, Inc.",7372,Services-Prepackaged Software,0,20333206
SFIX,"Stitch Fix, Inc.",5961,Retail-Catalog & Mail-Order Houses,0,142659894
WIX,Wix.com Ltd.,7370,"Services-Computer Programming, Data Processing, Etc.",0,49548455
WATT,Energous Corp,3663,Radio & Tv Broadcasting & Communications Equipment,0,240672662
DELL,Dell Technologies Inc.,3571,Electronic Computers,0,266017
SAIC,Science Applications International Corp,7373,Services-Computer Integrated Systems Design,0,231691952
CXM,"Sprinklr, Inc.",7372,Services-Prepackaged Software,0,260583
PD,"PagerDuty, Inc.",7372,Services-Prepackaged Software,0,116060746
INTA,"Intapp, Inc.",7372,Services-Prepackaged Software,0,882624
VISL,"Vislink Technologies, Inc.",3669,"Communications Equipment, NEC",2,13398355
SNAP,Snap Inc,7370,"Services-Computer Programming, Data Processing, Etc.",0,894727
DUOL,"Duolingo, Inc.",7372,Services-Prepackaged Software,0,210235568
DDOG,"Datadog, Inc.",7372,Services-Prepackaged Software,0,134521275
RPD,"Rapid7, Inc.",7372,Services-Prepackaged Software,0,270988869
EVTC,"EVERTEC, Inc.",7374,Services-Computer Processing & Data Preparation,0,228070761
GLOB,Globant S.A.,7374,Services-Computer Processing & Data Preparation,0,1781945881
AUUD,AUDDIA INC.,7374,Services-Computer Processing & Data Preparation,0,214702780
SSTK,"Shutterstock, Inc.",7374,Services-Computer Processing & Data Preparation,0,23442750
FRSH,Freshworks Inc.,7372,Services-Prepackaged Software,0,1685837932
CRWD,"CrowdStrike Holdings, Inc.",7372,Services-Prepackaged Software,0,420347413
HNST,"Honest Company, Inc.",5961,Retail-Catalog & Mail-Order Houses,0,140952960
JOYY,JOYY Inc.,7374,Services-Computer Processing & Data Preparation,0,222948413
ALKT,"ALKAMI TECHNOLOGY, INC.",7372,Services-Prepackaged Software,0,106842888
VIPS,Vipshop Holdings Ltd,5961,Retail-Catalog & Mail-Order Houses,0,115620169
XTIA,"XTI Aerospace, Inc.",7371,Services-Computer Programming Services,0,301042423
GWRE,"Guidewire Software, Inc.",7372,Services-Prepackaged Software,0,2829085
ATHM,Autohome Inc.,7374,Services-Computer Processing & Data Preparation,0,46365772
TRIP,"TripAdvisor, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,708350088
GDS,GDS Holdings Ltd,7370,"Services-Computer Programming, Data Processing, Etc.",0,403751487
MQ,"Marqeta, Inc.",7372,Services-Prepackaged Software,0,134231191
AMPG,"AmpliTech Group, Inc.",3669,"Communications Equipment, NEC",0,224845308
FSLY,"Fastly, Inc.",7372,Services-Prepackaged Software,0,144816347
SSYS,STRATASYS LTD.,3577,"Computer Peripheral Equipment, NEC",0,34839
SPT,"Sprout Social, Inc.",7372,Services-Prepackaged Software,0,105773546
COMM,"CommScope Holding Company, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment,0,6476632
DOCS,"Doximity, Inc.",7371,Services-Computer Programming Services,0,128585388
BAND,Bandwidth Inc.,7372,Services-Prepackaged Software,0,1054561
NBIS,Nebius Group N.V.,7370,"Services-Computer Programming, Data Processing, Etc.",0,52034495
XYZ,"Block, Inc.",7372,Services-Prepackaged Software,0,83920810
UI,Ubiquiti Inc.,3663,Radio & Tv Broadcasting & Communications Equipment,0,46084519
XNET,Xunlei Ltd,7372,Services-Prepackaged Software,0,134031691
VNET,"VNET Group, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,26878585
PINS,"PINTEREST, INC.",7370,"Services-Computer Programming, Data Processing, Etc.",0,139264388
DOMO,"DOMO, INC.",7372,Services-Prepackaged Software,0,424260838
UPLD,"Upland Software, Inc.",7372,Services-Prepackaged Software,0,1265495
CARG,"CarGurus, Inc.",7374,Services-Computer Processing & Data Preparation,0,620281
TBCH,Turtle Beach Corp,3669,"Communications Equipment, NEC",0,851282
MTSI,"MACOM Technology Solutions Holdings, Inc.",3674,Semiconductors & Related Devices,0,138672527
THR,"Thermon Group Holdings, Inc.",3620,Electrical Industrial Apparatus,0,105613224
TDUP,ThredUp Inc.,5961,Retail-Catalog & Mail-Order Houses,0,98730515
JKS,"JinkoSolar Holding Co., Ltd.",3674,Semiconductors & Related Devices,0,49547584
ASAN,"Asana, Inc.",7372,Services-Prepackaged Software,0,81838153
DQ,DAQO NEW ENERGY CORP.,3674,Semiconductors & Related Devices,0,84196527
NET,"Cloudflare, Inc.",7372,Services-Prepackaged Software,0,81851700
EXFY,"Expensify, Inc.",7372,Services-Prepackaged Software,0,59692786
EB,"Eventbrite, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,45534830
GNRC,GENERAC HOLDINGS INC.,3621,Motors & Generators,0,78749412
PSTG,"Pure Storage, Inc.",3572,Computer Storage Devices,0,111528632
DBX,"DROPBOX, INC.",7372,Services-Prepackaged Software,0,49093148
VUZI,Vuzix Corp,3663,Radio & Tv Broadcasting & Communications Equipment,0,13610016
ENPH,"Enphase Energy, Inc.",3674,Semiconductors & Related Devices,0,40485464
BLZE,"Backblaze, Inc.",7372,Services-Prepackaged Software,0,106486370
ALRM,"Alarm.com Holdings, Inc.",7372,Services-Prepackaged Software,0,302151977
BLDP,Ballard Power Systems Inc.,3620,Electrical Industrial Apparatus,0,25395
SITM,SITIME Corp,3674,Semiconductors & Related Devices,2,23813923
TWLO,TWILIO INC,7372,Services-Prepackaged Software,0,53507768
WK,WORKIVA INC,7372,Services-Prepackaged Software,0,75963230
VRSK,"Verisk Analytics, Inc.",7374,Services-Computer Processing & Data Preparation,0,1027055
MDB,"MongoDB, Inc.",7372,Services-Prepackaged Software,0,51175951
APPN,APPIAN CORP,7372,Services-Prepackaged Software,0,6512739
DMRC,Digimarc CORP,7373,Services-Computer Integrated Systems Design,0,46271970
POET,POET TECHNOLOGIES INC.,3674,Semiconductors & Related Devices,0,22757751
APPF,APPFOLIO INC,7372,Services-Prepackaged Software,0,44299616
PUBM,"PubMatic, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,36397912
ATOM,Atomera Inc,3674,Semiconductors & Related Devices,0,39088201
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",3674,Semiconductors & Related Devices,0,39461021
NXPI,NXP Semiconductors N.V.,3674,Semiconductors & Related Devices,0,934467
QTWO,"Q2 Holdings, Inc.",7372,Services-Prepackaged Software,0,44263730
FN,Fabrinet,3661,Telephone & Telegraph Apparatus,0,3352516
HUBS,HUBSPOT INC,7372,Services-Prepackaged Software,0,27629813
SSNC,SS&C Technologies Holdings Inc,7372,Services-Prepackaged Software,0,34709
CDW,CDW Corp,5961,Retail-Catalog & Mail-Order Houses,0,332700
BEEM,Beam Global,3674,Semiconductors & Related Devices,0,34792193
VEEV,VEEVA SYSTEMS INC,7372,Services-Prepackaged Software,0,33414482
PRO,"PROS Holdings, Inc.",7371,Services-Computer Programming Services,0,4493459
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,Semiconductors & Related Devices,0,7939542
RNG,"RingCentral, Inc.",7374,Services-Computer Processing & Data Preparation,0,409043
BLIN,"Bridgeline Digital, Inc.",7372,Services-Prepackaged Software,0,7682403
AVNW,"AVIAT NETWORKS, INC.",3663,Radio & Tv Broadcasting & Communications Equipment,0,30028982
CSIQ,Canadian Solar Inc.,3674,Semiconductors & Related Devices,0,29762552
SMCI,"Super Micro Computer, Inc.",3571,Electronic Computers,0,6479558
NOW,"ServiceNow, Inc.",7372,Services-Prepackaged Software,0,22967487
BOX,BOX INC,7372,Services-Prepackaged Software,0,103678
VRNS,VARONIS SYSTEMS INC,7372,Services-Prepackaged Software,0,21813301
QVCGA,"QVC Group, Inc.",5961,Retail-Catalog & Mail-Order Houses,0,30796
EPAM,"EPAM Systems, Inc.",7371,Services-Computer Programming Services,0,4773318
SSTI,"SOUNDTHINKING, INC.",7372,Services-Prepackaged Software,0,9495375
DGLY,"DIGITAL ALLY, INC.",3663,Radio & Tv Broadcasting & Communications Equipment,2,12457662
HIMX,"Himax Technologies, Inc.",3674,Semiconductors & Related Devices,0,20344586
