tic,gvkey,datadate,assets,revenue,net_income,operating_income,cash,debt_total,equity,rd,mktcap,cogs,intangibles,current_assets,current_liabilities,long_term_debt,roa,roe,op_margin,net_margin,cash_to_assets,debt_to_assets,debt_to_equity,current_ratio,rd_to_sales,log_assets,log_mktcap,mkt_to_book,p_to_s,p_to_e,gross_margin,asset_turnover,intangibles_to_assets,cash_ratio,long_term_debt_ratio
PBI,8606,2024-12-31,3397.516,516.121,-37.373,122.659,486.1,2080.017,-578.433,9.492,1320.6194400000002,209.932,736.783,1317.954,1672.727,1990.917,-0.011000095363789309,0.06461076736631555,0.23765551101389018,-0.07241131440108037,0.14307511723270766,0.612216984408609,-3.5959514757975426,0.7879074110718605,0.01839103621050103,8.130799855359317,7.185856178233678,-2.283098370943567,2.558739985391023,-35.336190297808585,0.5932504199596605,0.15191127871068155,0.21685931721881516,0.29060330825053937,0.5859919423484686
QMCO,8867,2024-12-31,168.056,68.686,-75.299,-6.384,20.603,146.40300000000002,-195.055,7.683,530.136058784,39.702,13.478,113.828,305.544,9.067,-0.4480589803398867,0.38603983491835636,-0.09294470488891476,-1.0962787176426054,0.12259603941543296,0.8711560432236874,-0.7505729153315732,0.3725420888644516,0.11185685583670615,5.12429725719338,6.273133688287383,-2.717879873799698,7.718254939638355,-7.040413003944276,0.4219782779605743,0.4087090017613177,0.08019945732374922,0.06743055010080382,0.053952254010567906
TXN,10499,2024-12-31,35509.0,4007.0,1205.0,1377.0,7580.0,14377.0,16903.0,491.0,170821.61,1258.0,4619.0,15026.0,3643.0,13509.0,0.03393505871750824,0.07128912027450748,0.3436486149238832,0.3007237334664337,0.2134670083640767,0.4048832690303867,0.85055907235402,4.124622563821027,0.12253556276516096,10.477541464459218,12.048375074581585,10.105993610601667,42.630798602445715,141.7606721991701,0.686049413526329,0.11284463093863528,0.13007969810470585,2.0807027175404884,0.380438762003999
TYL,10789,2024-12-31,5180.015,541.131,65.221,71.686,767.978,638.368,3388.422,29.435,24671.470520176095,283.455,3439.736,1440.779,1065.607,628.725,0.01259089018081994,0.019248192816597225,0.13247439159833757,0.12052719212168589,0.14825787184013944,0.12323670877400934,0.1883968407713089,1.3520735130306014,0.054395331259898254,8.552563231002232,10.113402815374668,7.281109177126136,45.59241758497683,378.27495009546146,0.476180444291678,0.10446514151020797,0.6640397759465947,0.7206953407776038,0.12137513115309512
VSH,11191,2024-12-31,4110.696,714.716,-66.308,9.802,606.416,1025.138,2028.962,120.126,2299.96074,517.211,266.228,1915.507,708.348,999.237,-0.01613060172778527,-0.032680750058404255,0.013714538362090675,-0.09277531215195967,0.1475214902780454,0.24938307284216588,0.505252439424691,2.704189183847488,0.1680751515287191,8.321347636219055,7.740647332206337,1.1335652121626723,3.2180065088790513,-34.686021897810214,0.27634053246324414,0.17386739374548738,0.06476470164663113,0.8560989795975991,0.24308219338039105
WDC,11399,2024-12-31,25456.0,2409.0,592.0,560.0,2291.0,7709.0,12346.0,487.0,20751.24,1408.0,9806.0,9372.0,4706.0,7514.0,0.023255813953488372,0.04795075328041471,0.23246160232461602,0.24574512245745123,0.08999842866121936,0.3028362664990572,0.6244127652681031,1.9915002124946877,0.20215857202158571,10.144706750577567,9.940361282909489,1.6808067390247854,8.614047322540474,35.05277027027027,0.4155251141552511,0.09463387806411062,0.38521370207416716,0.4868253293667658,0.2951759899434318
WWD,11580,2024-12-31,4281.382,772.725,87.091,89.731,286.723,925.867,2208.421,30.207,9872.36724,555.215,1186.345,1724.596,914.822,502.328,0.02034179617702882,0.03943586843269467,0.116122812125918,0.11270633148921025,0.0669697308018766,0.21625423753358144,0.4192438851106741,1.88517110432412,0.03909152673978453,8.362031133652025,9.197494945615334,4.4703284563948635,12.776042240124236,113.35691678818708,0.2814843573069332,0.18048494621596486,0.277093938359156,0.3134194411590452,0.11732847010614797
XRX,11636,2024-12-31,8365.0,1613.0,-21.0,78.0,608.0,3587.0,1290.0,34.0,1048.98705,1026.0,2233.0,2935.0,2619.0,2957.0,-0.002510460251046025,-0.01627906976744186,0.04835709857408556,-0.013019218846869188,0.07268380155409444,0.4288105200239091,2.7806201550387595,1.1206567392134403,0.021078735275883446,9.031811613420924,6.955580263229534,0.8131682558139535,0.6503329510229386,-49.95176428571428,0.36391816491010537,0.1928272564255828,0.2669456066945607,0.2321496754486445,0.3534967124925284
QLYS,11745,2024-12-31,973.537,159.191,43.965,49.413,381.423,47.221000000000004,477.116,28.302,5118.45066,24.934,14.259,585.691,428.39,37.5,0.04516007095775507,0.09214740230887249,0.31040071360818133,0.27617767336093124,0.39179096428795207,0.04850457661085301,0.09897173852899506,1.367191110903616,0.177786432650087,6.880935831280549,8.54060706677053,10.727895648018512,32.15288967341119,116.42103172978506,0.8433705423045272,0.1635181816407594,0.014646592784865907,0.8903639207264409,0.03851933722087604
JKHY,11811,2024-12-31,2911.77,573.847,97.845,123.002,25.653,205.692,1975.565,41.094,12779.019400000001,281.096,1485.048,579.801,497.373,106.493,0.03360327223647472,0.04952760349570882,0.21434633273328954,0.1705071212361483,0.008810105193748132,0.07064156853048147,0.10411806242771056,1.1657267282301211,0.07161142255688363,7.976516422680731,9.45555999572321,6.468539076163022,22.26903582313753,130.60472584189282,0.5101551458838331,0.19707840935238702,0.5100155575474711,0.05157698548172096,0.03657328703846801
MSFT,12141,2024-12-31,203985.34854360015,34871.602732700194,19127.606027500166,21673.972791100176,53470.768800000274,75305.25670000026,98641.31920000058,3856.7544000000175,3133852.5,14868.635100000118,67258.38355610055,93683.85524510048,49321.735800000155,67141.50990000027,0.0937695092518461,0.19391068755597152,0.6215364678600165,0.5485152539193047,0.26213043819944426,0.36916992929962517,0.7634250769428053,1.8994435967336776,0.11059871350230249,12.225803449382406,14.957773636336166,31.770180340410345,89.86832420699976,163.83924342096935,0.5736176735559868,0.17095150696691672,0.32972163950159705,1.0841217960540657,0.3291486882728214
ORCL,12142,2024-11-30,148483.0,14059.0,3151.0,4304.0,11311.0,75303.50990000027,13746.0,2471.0,516812.64,3177.0,67258.38355610055,23503.0,29052.0,67141.50990000027,0.02122128459150206,0.22923032154808673,0.30613841667259406,0.2241268938046803,0.07617707077577905,0.5071524006115196,5.478212563654901,0.8089976593694066,0.17575930009246746,11.908225752557295,13.155435689355766,37.597311217808816,36.76027028949427,164.01543636940653,0.7740237570239704,0.09468423994666056,0.45297026296680803,0.38933636238468955,0.4521831448718053
CLFD,12482,2024-12-31,303.23,29.698,-1.906,-2.046,113.014,23.508,267.435,0.0,438.092,19.51,12.596,197.911,18.728,17.067,-0.006285657751541733,-0.007126965430852356,-0.06889352818371607,-0.06417940602060744,0.372700590310985,0.0775253108201695,0.08790173313141511,10.567652712516018,0.0,5.714491593464553,6.082428933982045,1.6381251519060707,14.751565762004175,-229.8488982161595,0.34305340426964775,0.09793885829238531,0.04153942551858325,6.034493806065783,0.056284008838175636
ADBE,12540,2024-11-30,30230.0,5606.0,1683.0,2035.0,7886.0,6056.0,14105.0,999.0,227525.12999999998,440.0,13570.0,11232.0,10521.0,4482.0,0.0556731723453523,0.11931939028713222,0.3630039243667499,0.30021405636817694,0.2608666887198148,0.20033079722130334,0.4293512938674229,1.067579127459367,0.1782019265073136,10.316590087773504,12.335015972811178,16.130813895781635,40.586002497324294,135.1902139037433,0.9215126650017837,0.185444922262653,0.4488918293086338,0.7495485220036118,0.14826331458815745
PLXS,12945,2024-12-31,3071.317,976.122,37.267,51.543,317.849,260.704,1319.069,0.0,4234.66176,856.022,0.0,2387.323,1565.375,123.852,0.012133882630806263,0.02825250233308493,0.05280385033837984,0.03817862931068043,0.10348948024577079,0.08488345553389637,0.19764242810649027,1.5250805717479836,0.0,8.029861738819255,8.35105873612796,3.210341354394653,4.3382505055720495,113.63033675906297,0.1230378989511556,0.3178187077400346,0.0,0.2030497484628284,0.040325371819320506
PLAB,13200,2024-10-31,1712.059,222.628,33.869,56.01,640.669,22.959,1120.864,5.285,1412.4372,119.134,0.0,931.062,183.811,3.062,0.019782612631924483,0.03021686841579353,0.2515856046858437,0.15213270567942938,0.374209650485176,0.013410168691616353,0.020483305735575413,5.065322532383807,0.023739152307885803,7.445452018724687,7.253072001855222,1.2601325406115282,6.344382557450097,41.70294959992914,0.46487413982068737,0.13003523827157826,0.0,3.485476930107556,0.0017884897658316681
CDNS,13421,2024-12-31,8974.482,1355.981,340.21,489.556,2784.655,2626.63,4673.578,392.026,82281.27145999999,172.587,2973.405,4016.079,1370.105,2585.076,0.03790859461303727,0.07279433444782561,0.3610345572688703,0.25089584588574615,0.31028587499534793,0.2926776163794189,0.5620169386281774,2.9312198700099628,0.2891087706981145,9.102140495813417,11.317898796491447,17.605627093417503,60.680253971110204,241.85435895476323,0.8727216679289754,0.15109295444572735,0.33131772953581057,2.0324391196295175,0.28804737699624333
MITK,14113,2024-12-31,395.959,37.254,-4.612,-0.905,121.208,151.162,200.917,8.323,503.20956000000007,5.549,172.508,176.837,38.546,150.223,-0.011647670592157268,-0.022954752459971032,-0.02429269340205079,-0.12379878670746766,0.3061125015468773,0.38176174805977386,0.7523604274401867,4.587687438385306,0.22341225103344609,5.981310670540791,6.221006703615938,2.504564372352763,13.507531003382189,-109.10875108412837,0.8510495517259892,0.09408549875113331,0.4356713700155824,3.144502672131998,0.37939029040885547
DELL,14489,2024-10-31,81951.0,24366.0,1175.0,1866.0,5347.0,25827.0,-999.1891800000002,745.0,86788.26,14868.635100000118,24390.0,38035.0,49321.735800000155,19973.0,0.014337836023965541,-1.1759534866060097,0.07658212262989411,0.048222933595994416,0.06524630571927127,0.3151517370135813,-25.847958041339073,0.771161018221907,0.03057539193958795,11.313876786660064,11.371226638044647,-86.85868676039904,3.561859147993105,73.8623489361702,0.38977940162521063,0.29732401068931436,0.29761686861661235,0.10841062086058989,0.24371880758013936
DDD,14898,2024-12-31,608.846,111.024,-33.707,-29.482,171.447,286.061,176.193,20.219,444.47279999999995,72.915,32.899,428.83,139.096,275.065,-0.055362111272801336,-0.19130725965276713,-0.26554618821155784,-0.3036010232021905,0.2815933750078016,0.46984130634019106,1.623566202970606,3.082978662218899,0.18211377720132585,6.411565362168768,6.096888860730675,2.5226473242410306,4.003393860786856,-13.186364850031149,0.3432501080847384,0.1823515306005131,0.05403501049526482,1.2325803761430953,0.45178091011520155
WDAY,15044,2024-10-31,16424.0,2160.0,193.0,172.0,7169.0,3363.0,8624.0,647.0,62079.92565,450.0,3888.0,9078.0,4422.0,3261.0,0.011751095957135898,0.022379406307977738,0.07962962962962963,0.08935185185185185,0.4364953726254262,0.20476132489040427,0.3899582560296846,2.0529172320217097,0.29953703703703705,9.70649895869877,11.036177957208187,7.198507148654916,28.740706319444442,321.6576458549223,0.7916666666666666,0.13151485630784218,0.23672674135411592,1.621212121212121,0.19855090112031173
AMBA,15420,2024-10-31,670.789,82.653,-24.071,-24.243,226.531,5.9670000000000005,554.295,58.389,2341.49349,26.348,348.587,303.61,106.87,2.716,-0.03588460752934231,-0.04342633435264616,-0.2933105876374723,-0.29122959844167784,0.3377082808453925,0.008895494708470175,0.010765025843639218,2.840928230560494,0.7064353381002504,6.5084546314842475,7.758544248350673,4.224273157795037,28.32920148088998,-97.27445847700551,0.6812214922628338,0.12321758406890991,0.5196671382506273,2.119687470758866,0.004048963235831238
JOYY,16011,2024-12-31,7527.797,549.446,-304.492,25.243,2186.415,55.576,4711.99,67.485,2178.6273,345.663,2774.696,2556.281,2674.092,9.948,-0.04044901848442513,-0.06462068043438124,0.045942640405062546,-0.5541800286106369,0.2904455314084586,0.007382770815950537,0.011794592093786277,0.9559435501845112,0.12282371698037658,8.926357714908002,7.686450278553033,0.46235821807771244,3.9651345173138033,-7.154957437305414,0.3708881309537243,0.07298895015367711,0.3685933613778374,0.8176289372242989,0.001321502160592269
CRUS,16401,2024-12-31,2363.24,555.738,116.005,146.43,563.979,146.48,1962.798,112.976,5291.48204,246.774,459.893,1250.45,210.913,124.622,0.049087270019126286,0.05910185357841204,0.2634874707146173,0.2087404496363394,0.23864651918552499,0.06198270171459522,0.07462815837391315,5.928747872345469,0.20329003955101144,7.767788837835629,8.57385364440537,2.6958872181447098,9.521540798001935,45.61425835093315,0.5559526251578982,0.23515935749225644,0.19460274876863967,2.6739888010696355,0.05273353531592221
LSCC,16597,2024-12-31,843.903,117.419,16.514,3.01,136.291,15.251,710.932,38.58,7800.9316,36.626,319.945,364.834,99.622,9.433,0.019568599708734296,0.02322866321954842,0.02563469285209378,0.14064163380713512,0.16150078859774167,0.018071982206485815,0.021452122003229563,3.6621830519363194,0.3285669269879662,6.738037559081171,8.96199844144322,10.972823842505331,66.43670615488124,472.38292357999273,0.6880743320927619,0.139138028896686,0.3791253260149567,1.3680813474935254,0.011177824939596138
DGII,16710,2024-12-31,796.113,103.866,10.083,13.359,25.935,108.589,590.675,15.027,1115.1544700000002,30.968,588.445,145.874,90.339,105.708,0.012665287465472866,0.01707030092690566,0.12861764196175843,0.09707700306163711,0.03257703366230673,0.13639897853696648,0.18383882845896646,1.6147400347579672,0.14467679510138062,6.679741135568039,7.016748212415292,1.8879323993735984,10.736472666705179,110.59748785083806,0.7018466100552635,0.13046640363867942,0.7391475833204583,0.28708531199149867,0.1327801455321041
AAOI,18564,2024-12-31,547.032,100.271,-119.691,-5.573,79.133,190.86,229.112,16.737,1820.62598,66.179,8.517,301.268,170.069,147.851,-0.2188007282937744,-0.5224126191556968,-0.055579379880523784,-1.1936751403695984,0.14465881337837638,0.34890097837055234,0.8330423548308252,1.771445707330554,0.16691765315993656,6.304507301624946,7.506935665990245,7.946445319319809,18.157054183163627,-15.211051624600012,0.339998603783746,0.1833000628848038,0.015569473083841528,0.46529937848755504,0.27027852118340423
SAIC,18683,2024-10-31,5275.0,1963.0,106.0,141.0,50.0,2349.0,1612.0,0.0,7070.21,1704.0,3658.0,1160.0,1337.0,2129.0,0.02009478672985782,0.06575682382133995,0.0718288334182374,0.05399898115129903,0.009478672985781991,0.4453080568720379,1.4571960297766748,0.8676140613313388,0.0,8.570733958344267,8.863645461419791,4.38598635235732,3.6017371370351503,66.70009433962264,0.13194090677534387,0.37213270142180094,0.6934597156398105,0.037397157816005985,0.40360189573459715
