ticker,title,CIK,SIC,SIC_description
RAMP,"LiveRamp Holdings, Inc.",733269,7374,Services-Computer Processing & Data Preparation
INTZ,INTRUSION INC,736012,3576,Computer Communications Equipment
RFIL,R F INDUSTRIES LTD,740664,3678,Electronic Connectors
OBLG,"Oblong, Inc.",746210,7370,"Services-Computer Programming, Data Processing, Etc."
UIS,UNISYS CORP,746838,7373,Services-Computer Integrated Systems Design
RCAT,"Red Cat Holdings, Inc.",748268,7372,Services-Prepackaged Software
LNW,"Light & Wonder, Inc.",750004,7373,Services-Computer Integrated Systems Design
VICR,VICOR CORP,751978,3679,"Electronic Components, NEC"
ADSK,"Autodesk, Inc.",769397,7372,Services-Prepackaged Software
KOPN,KOPIN CORP,771266,3674,Semiconductors & Related Devices
CRUS,"CIRRUS LOGIC, INC.",772406,3674,Semiconductors & Related Devices
JKHY,JACK HENRY & ASSOCIATES INC,779152,7373,Services-Computer Integrated Systems Design
PLXS,PLEXUS CORP,785786,3672,Printed Circuit Boards
MSFT,MICROSOFT CORP,789019,7372,Services-Prepackaged Software
CONC,CONECTISYS CORP,790273,3663,Radio & Tv Broadcasting & Communications Equipment
ADBE,ADOBE INC.,796343,7372,Services-Prepackaged Software
CLFD,"Clearfield, Inc.",796505,3661,Telephone & Telegraph Apparatus
VBIX,Viewbix Inc.,797542,7372,Services-Prepackaged Software
MITI,"Mitesco, Inc.",802257,7370,"Services-Computer Programming, Data Processing, Etc."
AIFF,"FIREFLY NEUROSCIENCE, INC.",803578,7372,Services-Prepackaged Software
QCOM,QUALCOMM INC/DE,804328,3663,Radio & Tv Broadcasting & Communications Equipment
MITK,MITEK SYSTEMS INC,807863,3577,"Computer Peripheral Equipment, NEC"
PLAB,PHOTRONICS INC,810136,3674,Semiconductors & Related Devices
CDNS,CADENCE DESIGN SYSTEMS INC,813672,7372,Services-Prepackaged Software
TDC,TERADATA CORP /DE/,816761,7372,Services-Prepackaged Software
SYNA,SYNAPTICS Inc,817720,3674,Semiconductors & Related Devices
APH,AMPHENOL CORP /DE/,820313,3678,Electronic Connectors
MCHP,MICROCHIP TECHNOLOGY INC,827054,3674,Semiconductors & Related Devices
LINK,INTERLINK ELECTRONICS INC,828146,3577,"Computer Peripheral Equipment, NEC"
SCIA,"SCI Engineered Materials, Inc.",830616,3620,Electrical Industrial Apparatus
EAXR,"Ealixir, Inc.",832370,7372,Services-Prepackaged Software
POWI,POWER INTEGRATIONS INC,833640,3674,Semiconductors & Related Devices
ISSC,INNOVATIVE SOLUTIONS & SUPPORT INC,836690,7371,Services-Computer Programming Services
CLRO,CLEARONE INC,840715,3661,Telephone & Telegraph Apparatus
BNSOF,BONSO ELECTRONICS INTERNATIONAL INC,846546,3679,"Electronic Components, NEC"
GEN,Gen Digital Inc.,849399,7372,Services-Prepackaged Software
HLIT,HARMONIC INC.,851310,3663,Radio & Tv Broadcasting & Communications Equipment
DGII,DIGI INTERNATIONAL INC,854775,3576,Computer Communications Equipment
LSCC,LATTICE SEMICONDUCTOR CORP,855658,3674,Semiconductors & Related Devices
PTC,PTC INC.,857005,7372,Services-Prepackaged Software
CSCO,"CISCO SYSTEMS, INC.",858877,3576,Computer Communications Equipment
TYL,TYLER TECHNOLOGIES INC,860731,7372,Services-Prepackaged Software
BHE,BENCHMARK ELECTRONICS INC,863436,3672,Printed Circuit Boards
ALGM,"ALLEGRO MICROSYSTEMS, INC.",866291,3674,Semiconductors & Related Devices
FLEX,FLEX LTD.,866374,3672,Printed Circuit Boards
DPLS,"DarkPulse, Inc.",866439,7372,Services-Prepackaged Software
ESE,ESCO TECHNOLOGIES INC,866706,3669,"Communications Equipment, NEC"
PRGS,PROGRESS SOFTWARE CORP /MA,876167,7372,Services-Prepackaged Software
MGIC,MAGIC SOFTWARE ENTERPRISES LTD,876779,7372,Services-Prepackaged Software
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,880807,3621,Motors & Generators
QUIK,QUICKLOGIC Corp,882508,3674,Semiconductors & Related Devices
SNPS,SYNOPSYS INC,883241,7372,Services-Prepackaged Software
ASUR,ASURE SOFTWARE INC,884144,7373,Services-Computer Integrated Systems Design
SPNS,SAPIENS INTERNATIONAL CORP N V,885740,7372,Services-Prepackaged Software
FCEL,FUELCELL ENERGY INC,886128,3620,Electrical Industrial Apparatus
LPTH,LIGHTPATH TECHNOLOGIES INC,889971,3674,Semiconductors & Related Devices
PRSO,Peraso Inc.,890394,3674,Semiconductors & Related Devices
MTCH,"Match Group, Inc.",891103,7370,"Services-Computer Programming, Data Processing, Etc."
GRHI,"GOLD ROCK HOLDINGS, INC.",894501,7373,Services-Computer Integrated Systems Design
WOLF,"WOLFSPEED, INC.",895419,3674,Semiconductors & Related Devices
CTLP,"CANTALOUPE, INC.",896429,3578,Calculating & Accounting Machines (No Electronic Computers)
INTU,INTUIT INC.,896878,7372,Services-Prepackaged Software
KOAN,"Resonate Blends, Inc.",897078,7372,Services-Prepackaged Software
GILT,GILAT SATELLITE NETWORKS LTD,897322,3663,Radio & Tv Broadcasting & Communications Equipment
SANM,SANMINA CORP,897723,3672,Printed Circuit Boards
JBL,JABIL INC,898293,3672,Printed Circuit Boards
INOD,INNODATA INC,903651,7374,Services-Computer Processing & Data Preparation
TCX,TUCOWS INC /PA/,909494,7374,Services-Computer Processing & Data Preparation
DDD,3D SYSTEMS CORP,910638,7372,Services-Prepackaged Software
VIAV,VIAVI SOLUTIONS INC.,912093,3674,Semiconductors & Related Devices
PRKR,PARKERVISION INC,914139,3663,Radio & Tv Broadcasting & Communications Equipment
SILC,SILICOM LTD.,916793,3576,Computer Communications Equipment
RMBS,RAMBUS INC,917273,3674,Semiconductors & Related Devices
FALC,FALCONSTOR SOFTWARE INC,922521,7372,Services-Prepackaged Software
NOK,NOKIA CORP,924613,3663,Radio & Tv Broadcasting & Communications Equipment
ADTN,"ADTRAN Holdings, Inc.",926282,3661,Telephone & Telegraph Apparatus
OMCL,"OMNICELL, INC.",926326,3571,Electronic Computers
AEIS,ADVANCED ENERGY INDUSTRIES INC,927003,3679,"Electronic Components, NEC"
TSEM,TOWER SEMICONDUCTOR LTD,928876,3674,Semiconductors & Related Devices
EAF,GRAFTECH INTERNATIONAL LTD,931148,3620,Electrical Industrial Apparatus
GTLL,GLOBAL TECHNOLOGIES LTD,932021,3663,Radio & Tv Broadcasting & Communications Equipment
NSIT,INSIGHT ENTERPRISES INC,932696,5961,Retail-Catalog & Mail-Order Houses
STM,STMicroelectronics N.V.,932787,3674,Semiconductors & Related Devices
SCWO,374Water Inc.,933972,3621,Motors & Generators
ACIW,"ACI WORLDWIDE, INC.",935036,7372,Services-Prepackaged Software
CIEN,CIENA CORP,936395,3661,Telephone & Telegraph Apparatus
WHEN,"WORLD HEALTH ENERGY HOLDINGS, INC.",943535,7372,Services-Prepackaged Software
SCKT,"SOCKET MOBILE, INC.",944075,3571,Electronic Computers
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,946581,7372,Services-Prepackaged Software
SMSI,"SMITH MICRO SOFTWARE, INC.",948708,7372,Services-Prepackaged Software
SAP,SAP SE,1000184,7372,Services-Prepackaged Software
NTAP,"NetApp, Inc.",1002047,3572,Computer Storage Devices
OTEX,OPEN TEXT CORP,1002638,7373,Services-Computer Integrated Systems Design
NICE,NICE Ltd.,1003935,7372,Services-Prepackaged Software
OLED,UNIVERSAL DISPLAY CORP PA,1005284,3670,Electronic Components & Accessories
BOSC,BOS BETTER ONLINE SOLUTIONS LTD,1005516,3576,Computer Communications Equipment
CSGS,CSG SYSTEMS INTERNATIONAL INC,1005757,7374,Services-Computer Processing & Data Preparation
FDS,FACTSET RESEARCH SYSTEMS INC,1013237,7370,"Services-Computer Programming, Data Processing, Etc."
PEGA,PEGASYSTEMS INC,1013857,7374,Services-Computer Processing & Data Preparation
DTGI,"Digerati Technologies, Inc.",1014052,7374,Services-Computer Processing & Data Preparation
VRSN,VERISIGN INC/CA,1014473,7371,Services-Computer Programming Services
AWRE,AWARE INC /MA/,1015739,7372,Services-Prepackaged Software
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD,1015922,7372,Services-Prepackaged Software
RDCM,RADCOM LTD,1016838,3577,"Computer Peripheral Equipment, NEC"
TACT,TRANSACT TECHNOLOGIES INC,1017303,3577,"Computer Peripheral Equipment, NEC"
AMZN,AMAZON COM INC,1018724,5961,Retail-Catalog & Mail-Order Houses
BKYI,BIO KEY INTERNATIONAL INC,1019034,7372,Services-Prepackaged Software
SDCH,"SideChannel, Inc.",1022505,7374,Services-Computer Processing & Data Preparation
INSG,INSEEGO CORP.,1022652,3669,"Communications Equipment, NEC"
SLP,"Simulations Plus, Inc.",1023459,7373,Services-Computer Integrated Systems Design
EGHT,8X8 INC /DE/,1023731,7374,Services-Computer Processing & Data Preparation
ELTK,ELTEK LTD,1024672,3672,Printed Circuit Boards
UTSI,UTSTARCOM HOLDINGS CORP.,1030471,3669,"Communications Equipment, NEC"
CLS,CELESTICA INC,1030894,3672,Printed Circuit Boards
BSY,BENTLEY SYSTEMS INC,1031308,7372,Services-Prepackaged Software
LOGI,LOGITECH INTERNATIONAL S.A.,1032975,3577,"Computer Peripheral Equipment, NEC"
UMC,UNITED MICROELECTRONICS CORP,1033767,3674,Semiconductors & Related Devices
WYY,WIDEPOINT CORP,1034760,7373,Services-Computer Integrated Systems Design
MINBY,MINEBEA MITSUMI Inc.,1034983,3670,Electronic Components & Accessories
INVE,"Identiv, Inc.",1036044,3577,"Computer Peripheral Equipment, NEC"
SLAB,SILICON LABORATORIES INC.,1038074,3674,Semiconductors & Related Devices
OSIS,OSI SYSTEMS INC,1039065,3674,Semiconductors & Related Devices
NTWK,NETSOL TECHNOLOGIES INC,1039280,7372,Services-Prepackaged Software
FORM,FORMFACTOR INC,1039399,3674,Semiconductors & Related Devices
PXLW,"PIXELWORKS, INC",1040161,3674,Semiconductors & Related Devices
IDN,"Intellicheck, Inc.",1040896,7372,Services-Prepackaged Software
OSPN,OneSpan Inc.,1044777,7373,Services-Computer Integrated Systems Design
NVDA,NVIDIA CORP,1045810,3674,Semiconductors & Related Devices
TRCK,"Track Group, Inc.",1045942,3669,"Communications Equipment, NEC"
FORTY,FORMULA SYSTEMS (1985) LTD,1045986,7371,Services-Computer Programming Services
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,1046179,3674,Semiconductors & Related Devices
AMKR,"AMKOR TECHNOLOGY, INC.",1047127,3674,Semiconductors & Related Devices
FFIV,"F5, INC.",1048695,3576,Computer Communications Equipment
MRCY,MERCURY SYSTEMS INC,1049521,3670,Electronic Components & Accessories
DSGX,DESCARTES SYSTEMS GROUP INC,1050140,7372,Services-Prepackaged Software
CNXN,PC CONNECTION INC,1050377,5961,Retail-Catalog & Mail-Order Houses
AXTI,AXT INC,1051627,3674,Semiconductors & Related Devices
MANH,MANHATTAN ASSOCIATES INC,1056696,7372,Services-Prepackaged Software
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1058290,7371,Services-Computer Programming Services
IMMR,IMMERSION CORP,1058811,3577,"Computer Peripheral Equipment, NEC"
NGCG,"New Generation Consumer Group, Inc.",1061040,7371,Services-Computer Programming Services
JPOTF,Jackpot Digital Inc.,1061612,7372,Services-Prepackaged Software
AOMFF,ALSTOM,1062066,3621,Motors & Generators
DOX,AMDOCS LTD,1062579,7371,Services-Computer Programming Services
EGAN,EGAIN Corp,1066194,7372,Services-Prepackaged Software
INFY,Infosys Ltd,1067491,7371,Services-Computer Programming Services
ATDS,"Data443 Risk Mitigation, Inc.",1068689,7372,Services-Prepackaged Software
APCX,AppTech Payments Corp.,1070050,7372,Services-Prepackaged Software
BB,BLACKBERRY Ltd,1070235,7372,Services-Prepackaged Software
NTCT,NETSCOUT SYSTEMS INC,1078075,7373,Services-Computer Integrated Systems Design
EXTR,EXTREME NETWORKS INC,1078271,3576,Computer Communications Equipment
INLX,"INTELLINETICS, INC.",1081745,7372,Services-Prepackaged Software
VISM,"VISIUM TECHNOLOGIES, INC.",1082733,7371,Services-Computer Programming Services
MMTIF,MICROMEM TECHNOLOGIES INC,1085921,7371,Services-Computer Programming Services
AUDC,AUDIOCODES LTD,1086434,3661,Telephone & Telegraph Apparatus
MTLS,MATERIALISE NV,1091223,7372,Services-Prepackaged Software
SPSC,SPS COMMERCE INC,1092699,7372,Services-Prepackaged Software
PLUG,PLUG POWER INC,1093691,3620,Electrical Industrial Apparatus
SIFY,SIFY TECHNOLOGIES LTD,1094324,7370,"Services-Computer Programming, Data Processing, Etc."
HSTM,HEALTHSTREAM INC,1095565,7370,"Services-Computer Programming, Data Processing, Etc."
ON,ON SEMICONDUCTOR CORP,1097864,3674,Semiconductors & Related Devices
MTLK,METALINK LTD,1098462,3674,Semiconductors & Related Devices
DSNY,DESTINY MEDIA TECHNOLOGIES INC,1099369,7372,Services-Prepackaged Software
LPSN,LIVEPERSON INC,1102993,7372,Services-Prepackaged Software
VRME,"VerifyMe, Inc.",1104038,7373,Services-Computer Integrated Systems Design
GIGM,GIGAMEDIA Ltd,1105101,7370,"Services-Computer Programming, Data Processing, Etc."
IFNNY,INFINEON TECHNOLOGIES AG,1107457,3674,Semiconductors & Related Devices
QLYS,"QUALYS, INC.",1107843,7372,Services-Prepackaged Software
CRM,"Salesforce, Inc.",1108524,7372,Services-Prepackaged Software
ONTF,ON24 INC.,1110611,7372,Services-Prepackaged Software
NTES,"NetEase, Inc.",1110646,7372,Services-Prepackaged Software
IPGP,IPG PHOTONICS CORP,1111928,3674,Semiconductors & Related Devices
LTRX,LANTRONIX INC,1114925,3576,Computer Communications Equipment
UMEWF,UMeWorld Inc.,1114936,7372,Services-Prepackaged Software
PI,IMPINJ INC,1114995,3679,"Electronic Components, NEC"
TTMI,TTM TECHNOLOGIES INC,1116942,3672,Printed Circuit Boards
MNDO,MIND CTI LTD,1119083,7371,Services-Computer Programming Services
CRNT,CERAGON NETWORKS LTD,1119769,3663,Radio & Tv Broadcasting & Communications Equipment
PDFS,PDF SOLUTIONS INC,1120914,7372,Services-Prepackaged Software
GHST,GHST World Inc.,1121795,7372,Services-Prepackaged Software
ASX,"ASE Technology Holding Co., Ltd.",1122411,3674,Semiconductors & Related Devices
NTGR,"NETGEAR, INC.",1122904,3661,Telephone & Telegraph Apparatus
IMOS,CHIPMOS TECHNOLOGIES INC,1123134,3674,Semiconductors & Related Devices
WIT,WIPRO LTD,1123799,7371,Services-Computer Programming Services
LASR,"NLIGHT, INC.",1124796,3674,Semiconductors & Related Devices
GSIT,GSI TECHNOLOGY INC,1126741,3674,Semiconductors & Related Devices
SIPN,"SIPP International Industries, Inc.",1128252,3663,Radio & Tv Broadcasting & Communications Equipment
BBBY,"BED BATH & BEYOND, INC.",1130713,5961,Retail-Catalog & Mail-Order Houses
SNCR,SYNCHRONOSS TECHNOLOGIES INC,1131554,7371,Services-Computer Programming Services
FCCN,SPECTRAL CAPITAL Corp,1131903,7374,Services-Computer Processing & Data Preparation
STX,Seagate Technology Holdings plc,1137789,3572,Computer Storage Devices
ASNS,ACTELIS NETWORKS INC,1141284,3669,"Communications Equipment, NEC"
APLD,Applied Digital Corp.,1144879,7374,Services-Computer Processing & Data Preparation
AAOI,"APPLIED OPTOELECTRONICS, INC.",1158114,3674,Semiconductors & Related Devices
ATEYY,ADVANTEST CORP,1158838,3674,Semiconductors & Related Devices
NJDCY,NIDEC CORP,1158967,3621,Motors & Generators
VRNT,VERINT SYSTEMS INC,1166388,7373,Services-Computer Integrated Systems Design
TBRG,"TruBridge, Inc.",1169445,7371,Services-Computer Programming Services
CVLT,COMMVAULT SYSTEMS INC,1169561,7372,Services-Prepackaged Software
CEVA,CEVA INC,1173489,7370,"Services-Computer Programming, Data Processing, Etc."
SONM,SONIM TECHNOLOGIES INC,1178697,3661,Telephone & Telegraph Apparatus
FA,FIRST ADVANTAGE CORP,1210677,7374,Services-Computer Processing & Data Preparation
MYSZ,"My Size, Inc.",1211805,7372,Services-Prepackaged Software
QVCD,QVC INC,1254699,5961,Retail-Catalog & Mail-Order Houses
DOCU,"DOCUSIGN, INC.",1261333,7372,Services-Prepackaged Software
FTNT,"Fortinet, Inc.",1262039,3577,"Computer Peripheral Equipment, NEC"
AIRG,AIRGAIN INC,1272842,3663,Radio & Tv Broadcasting & Communications Equipment
FSLR,"FIRST SOLAR, INC.",1274494,3674,Semiconductors & Related Devices
UCTT,"Ultra Clean Holdings, Inc.",1275014,3674,Semiconductors & Related Devices
BLKB,BLACKBAUD INC,1280058,7372,Services-Prepackaged Software
AMBA,AMBARELLA INC,1280263,3674,Semiconductors & Related Devices
MPWR,MONOLITHIC POWER SYSTEMS INC,1280452,3674,Semiconductors & Related Devices
NLST,NETLIST INC,1282631,3674,Semiconductors & Related Devices
ITMSF,INTERMAP TECHNOLOGIES CORP,1285170,7374,Services-Computer Processing & Data Preparation
LZ,"LEGALZOOM.COM, INC.",1286139,7374,Services-Computer Processing & Data Preparation
MXL,"MAXLINEAR, INC",1288469,3674,Semiconductors & Related Devices
FIVN,"Five9, Inc.",1288847,7374,Services-Computer Processing & Data Preparation
AIPG,AI Technology Group Inc.,1289047,3621,Motors & Generators
LPL,"LG Display Co., Ltd.",1290109,3679,"Electronic Components, NEC"
ITOX,"IIOT-OXYS, Inc.",1290658,7372,Services-Prepackaged Software
SPCB,SuperCom Ltd,1291855,3674,Semiconductors & Related Devices
SYIN,"Synbio International, Inc.",1292490,7374,Services-Computer Processing & Data Preparation
GRVY,"GRAVITY Co., Ltd.",1313310,7374,Services-Computer Processing & Data Preparation
RBLX,Roblox Corp,1315098,7372,Services-Prepackaged Software
PLTR,Palantir Technologies Inc.,1321655,7372,Services-Prepackaged Software
MX,MAGNACHIP SEMICONDUCTOR Corp,1325702,3674,Semiconductors & Related Devices
META,"Meta Platforms, Inc.",1326801,7370,"Services-Computer Programming, Data Processing, Etc."
TRUE,"TrueCar, Inc.",1327318,7370,"Services-Computer Programming, Data Processing, Etc."
PANW,Palo Alto Networks Inc,1327567,3577,"Computer Peripheral Equipment, NEC"
OOMA,OOMA INC,1327688,7374,Services-Computer Processing & Data Preparation
WDAY,"Workday, Inc.",1327811,7374,Services-Computer Processing & Data Preparation
BIDU,"Baidu, Inc.",1329099,7370,"Services-Computer Programming, Data Processing, Etc."
SIMO,Silicon Motion Technology CORP,1329394,3674,Semiconductors & Related Devices
LEDS,SemiLEDs Corp,1333822,3674,Semiconductors & Related Devices
LDOS,"Leidos Holdings, Inc.",1336920,7373,Services-Computer Integrated Systems Design
PERI,Perion Network Ltd.,1338940,7371,Services-Computer Programming Services
DRTTF,DIRTT ENVIRONMENTAL SOLUTIONS LTD,1340476,7372,Services-Prepackaged Software
ORCL,ORACLE CORP,1341439,7372,Services-Prepackaged Software
HIMX,"Himax Technologies, Inc.",1342338,3674,Semiconductors & Related Devices
DGLY,"DIGITAL ALLY, INC.",1342958,3663,Radio & Tv Broadcasting & Communications Equipment
TOGI,"TurnOnGreen, Inc.",1349706,3620,Electrical Industrial Apparatus
ASTI,"Ascent Solar Technologies, Inc.",1350102,3674,Semiconductors & Related Devices
SSTI,"SOUNDTHINKING, INC.",1351636,7372,Services-Prepackaged Software
EPAM,"EPAM Systems, Inc.",1352010,7371,Services-Computer Programming Services
QVCGA,"QVC Group, Inc.",1355096,5961,Retail-Catalog & Mail-Order Houses
IPM,INTELLIGENT PROTECTION MANAGEMENT CORP.,1355839,7370,"Services-Computer Programming, Data Processing, Etc."
CREX,"CREATIVE REALITIES, INC.",1356093,7373,Services-Computer Integrated Systems Design
WFCF,"Where Food Comes From, Inc.",1360565,7372,Services-Prepackaged Software
VRNS,VARONIS SYSTEMS INC,1361113,7372,Services-Prepackaged Software
AEYE,AUDIOEYE INC,1362190,7372,Services-Prepackaged Software
ALLT,Allot Ltd.,1365767,3576,Computer Communications Equipment
BOX,BOX INC,1372612,7372,Services-Prepackaged Software
NOW,"ServiceNow, Inc.",1373715,7372,Services-Prepackaged Software
SMCI,"Super Micro Computer, Inc.",1375365,3571,Electronic Computers
MLRT,"Metalert, Inc.",1375793,3663,Radio & Tv Broadcasting & Communications Equipment
CSIQ,Canadian Solar Inc.,1375877,3674,Semiconductors & Related Devices
VPRB,"VPR Brands, LP.",1376231,7372,Services-Prepackaged Software
CNET,ZW Data Action Technologies Inc.,1376321,7370,"Services-Computer Programming, Data Processing, Etc."
CRVW,CareView Communications Inc,1377149,3663,Radio & Tv Broadcasting & Communications Equipment
AVNW,"AVIAT NETWORKS, INC.",1377789,3663,Radio & Tv Broadcasting & Communications Equipment
BLIN,"Bridgeline Digital, Inc.",1378590,7372,Services-Prepackaged Software
GOGR,Go Green Global Technologies Corp.,1378866,3677,"Electronic Coils, Transformers & Other Inductors"
RTCJF,Baijiayun Group Ltd,1381074,7372,Services-Prepackaged Software
CYCA,CYTTA CORP.,1383088,7372,Services-Prepackaged Software
SQNS,SEQUANS COMMUNICATIONS,1383395,3674,Semiconductors & Related Devices
RDAR,"Telvantis, Inc.",1384365,7371,Services-Computer Programming Services
RNG,"RingCentral, Inc.",1384905,7374,Services-Computer Processing & Data Preparation
BYOC,"Beyond Commerce, Inc.",1386049,7374,Services-Computer Processing & Data Preparation
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,1387467,3674,Semiconductors & Related Devices
ONEI,OneMeta Inc.,1388295,7374,Services-Computer Processing & Data Preparation
PRO,"PROS Holdings, Inc.",1392972,7371,Services-Computer Programming Services
VEEV,VEEVA SYSTEMS INC,1393052,7372,Services-Prepackaged Software
OSS,"ONE STOP SYSTEMS, INC.",1394056,3571,Electronic Computers
DUOT,"DUOS TECHNOLOGIES GROUP, INC.",1396536,7372,Services-Prepackaged Software
IVDA,"Iveda Solutions, Inc.",1397183,7372,Services-Prepackaged Software
BEEM,Beam Global,1398805,3674,Semiconductors & Related Devices
CDW,CDW Corp,1402057,5961,Retail-Catalog & Mail-Order Houses
ELRA,"ELRAY RESOURCES, INC.",1402371,7372,Services-Prepackaged Software
SSNC,SS&C Technologies Holdings Inc,1402436,7372,Services-Prepackaged Software
HUBS,HUBSPOT INC,1404655,7372,Services-Prepackaged Software
FN,Fabrinet,1408710,3661,Telephone & Telegraph Apparatus
RBCN,"Rubicon Technology, Inc.",1410172,3674,Semiconductors & Related Devices
QTWO,"Q2 Holdings, Inc.",1410384,7372,Services-Prepackaged Software
VPLM,Voip-pal.com Inc,1410738,3661,Telephone & Telegraph Apparatus
NXPI,NXP Semiconductors N.V.,1413447,3674,Semiconductors & Related Devices
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",1419612,3674,Semiconductors & Related Devices
DTST,Data Storage Corp,1419951,7374,Services-Computer Processing & Data Preparation
ATOM,Atomera Inc,1420520,3674,Semiconductors & Related Devices
PTOP,Peer To Peer Network,1421981,7373,Services-Computer Integrated Systems Design
PUBM,"PubMatic, Inc.",1422930,7370,"Services-Computer Programming, Data Processing, Etc."
KLTR,KALTURA INC,1432133,7372,Services-Prepackaged Software
APPF,APPFOLIO INC,1433195,7372,Services-Prepackaged Software
CETX,CEMTREX INC,1435064,3670,Electronic Components & Accessories
PWDY,"POWERDYNE INTERNATIONAL, INC.",1435617,7374,Services-Computer Processing & Data Preparation
RPMT,"REGO PAYMENT ARCHITECTURES, INC.",1437283,7372,Services-Prepackaged Software
POET,POET TECHNOLOGIES INC.,1437424,3674,Semiconductors & Related Devices
CLOQ,"CYBERLOQ TECHNOLOGIES, INC.",1437517,7372,Services-Prepackaged Software
